學年別,年齡別,總計計,總計男,總計女,1年級計,1年級男,1年級女,2年級計,2年級男,2年級女,3年級計,3年級男,3年級女,延修生計,延修生男,延修生女
99學年,總計,87494,50175,37319,29746,17549,12197,28492,16196,12296,29166,16369,12797,90,61,29
99學年,未滿14歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,14至未滿15歲,190,107,83,190,107,83,-,-,-,-,-,-,-,-,-
99學年,15至未滿16歲,15317,8811,6506,15110,8714,6396,207,97,110,-,-,-,-,-,-
99學年,16至未滿17歲,20328,11544,8784,4560,2936,1624,15492,8466,7026,275,141,134,1,1,-
99學年,17至未滿18歲,23213,13193,10020,2469,1598,871,4628,2873,1755,16116,8722,7394,-,-,-
99學年,18至未滿19歲,8524,5454,3070,1497,994,503,2453,1596,857,4569,2862,1707,5,2,3
99學年,19至未滿20歲,4546,2815,1731,785,440,345,1376,879,497,2369,1489,880,16,7,9
99學年,20至未滿21歲,2928,1822,1106,798,507,291,706,419,287,1398,876,522,26,20,6
99學年,21至未滿22歲,1992,1180,812,581,361,220,641,393,248,755,414,341,15,12,3
99學年,22歲以上,10456,5249,5207,3756,1892,1864,2989,1473,1516,3684,1865,1819,27,19,8
98學年,總計,92752,52631,40121,32030,18594,13436,30983,17532,13451,29681,16457,13224,58,48,10
98學年,未滿14歲,3,1,2,1,-,1,1,-,1,1,1,-,-,-,-
98學年,14至未滿15歲,191,106,85,191,106,85,-,-,-,-,-,-,-,-,-
98學年,15至未滿16歲,18100,10120,7980,17854,9994,7860,245,125,120,1,1,-,-,-,-
98學年,16至未滿17歲,22047,12415,9632,4762,3010,1752,17063,9305,7758,222,100,122,-,-,-
98學年,17至未滿18歲,23411,13239,10172,2579,1695,884,4802,2970,1832,16030,8574,7456,-,-,-
98學年,18至未滿19歲,9102,5717,3385,1565,1031,534,2636,1683,953,4883,2988,1895,18,15,3
98學年,19至未滿20歲,5076,3170,1906,883,521,362,1530,971,559,2647,1665,982,16,13,3
98學年,20至未滿21歲,2974,1759,1215,721,456,265,825,471,354,1421,825,596,7,7,-
98學年,21至未滿22歲,2215,1255,960,576,347,229,736,415,321,893,486,407,10,7,3
98學年,22歲以上,9633,4849,4784,2898,1434,1464,3145,1592,1553,3583,1817,1766,7,6,1
97學年,總計,98376,55333,43043,35443,20415,15028,31582,17634,13948,31253,17202,14051,98,82,16
97學年,未滿14歲,2,-,2,2,-,2,-,-,-,-,-,-,-,-,-
97學年,14至未滿15歲,463,231,232,462,230,232,1,1,-,-,-,-,-,-,-
97學年,15至未滿16歲,19665,10792,8873,19257,10615,8642,408,177,231,-,-,-,-,-,-
97學年,16至未滿17歲,22065,12282,9783,5223,3281,1942,16440,8795,7645,402,206,196,-,-,-
97學年,17至未滿18歲,24920,14030,10890,2876,1906,970,5258,3259,1999,16786,8865,7921,-,-,-
97學年,18至未滿19歲,10012,6219,3793,1814,1186,628,2935,1863,1072,5247,3157,2090,16,13,3
97學年,19至未滿20歲,5346,3265,2081,979,562,417,1630,980,650,2716,1706,1010,21,17,4
97學年,20至未滿21歲,3290,1910,1380,820,486,334,848,433,415,1599,972,627,23,19,4
97學年,21至未滿22歲,2070,1185,885,621,397,224,627,346,281,804,427,377,18,15,3
97學年,22歲以上,10543,5419,5124,3389,1752,1637,3435,1780,1655,3699,1869,1830,20,18,2
""
