學年別,縣市別,二專總計計,二專總計男,二專總計女,二專國立計,二專國立男,二專國立女,二專私立計,二專私立男,二專私立女,二技總計計,二技總計男,二技總計女,二技國立計,二技國立男,二技國立女,二技私立計,二技私立男,二技私立女
98學年,嘉義市,184,91,93,-,-,-,184,91,93,-,-,-,-,-,-,-,-,-
98學年,臺南市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,總計,27754,15091,12663,5092,1956,3136,22662,13135,9527,21664,11095,10569,5446,3240,2206,16218,7855,8363
97學年,臺北市,4989,2683,2306,1471,520,951,3518,2163,1355,4940,2752,2188,1428,1082,346,3512,1670,1842
97學年,高雄市,-,-,-,-,-,-,-,-,-,1267,722,545,1267,722,545,-,-,-
97學年,臺北縣,3819,2000,1819,-,-,-,3819,2000,1819,2489,1174,1315,-,-,-,2489,1174,1315
97學年,宜蘭縣,353,217,136,-,-,-,353,217,136,439,219,220,-,-,-,439,219,220
97學年,桃園縣,395,182,213,-,-,-,395,182,213,1297,559,738,-,-,-,1297,559,738
97學年,新竹縣,470,166,304,-,-,-,470,166,304,354,172,182,-,-,-,354,172,182
97學年,苗栗縣,642,417,225,-,-,-,642,417,225,440,222,218,-,-,-,440,222,218
97學年,臺中縣,1840,1374,466,822,593,229,1018,781,237,1004,791,213,629,511,118,375,280,95
97學年,彰化縣,1754,1022,732,-,-,-,1754,1022,732,691,423,268,-,-,-,691,423,268
97學年,南投縣,243,128,115,-,-,-,243,128,115,344,208,136,-,-,-,344,208,136
97學年,雲林縣,764,365,399,-,-,-,764,365,399,1008,556,452,681,435,246,327,121,206
97學年,嘉義縣,721,480,241,-,-,-,721,480,241,696,366,330,-,-,-,696,366,330
97學年,臺南縣,1854,1249,605,-,-,-,1854,1249,605,902,527,375,-,-,-,902,527,375
97學年,高雄縣,3788,2234,1554,-,-,-,3788,2234,1554,1758,982,776,-,-,-,1758,982,776
97學年,屏東縣,980,548,432,-,-,-,980,548,432,844,322,522,-,-,-,844,322,522
97學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,花蓮縣,109,35,74,-,-,-,109,35,74,-,-,-,-,-,-,-,-,-
97學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,基隆市,1276,638,638,-,-,-,1276,638,638,1270,377,893,-,-,-,1270,377,893
97學年,新竹市,356,196,160,-,-,-,356,196,160,73,42,31,-,-,-,73,42,31
97學年,臺中市,3155,1040,2115,2799,843,1956,356,197,159,1848,681,1167,1441,490,951,407,191,216
97學年,嘉義市,246,117,129,-,-,-,246,117,129,-,-,-,-,-,-,-,-,-
97學年,臺南市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
""
