學年別,縣市別,國民小學總計計,國民小學總計男,國民小學總計女,國民小學國立計,國民小學國立男,國民小學國立女,國民小學直轄市立計,國民小學直轄市立男,國民小學直轄市立女,國民小學縣市立計,國民小學縣市立男,國民小學縣市立女,國民小學私立計,國民小學私立男,國民小學私立女,國民中學總計計,國民中學總計男,國民中學總計女,國民中學國立計,國民中學國立男,國民中學國立女,國民中學直轄市立計,國民中學直轄市立男,國民中學直轄市立女,國民中學縣市立計,國民中學縣市立男,國民中學縣市立女,國民中學私立計,國民中學私立男,國民中學私立女
103學年,桃園縣,787,384,403,-,-,-,-,-,-,776,378,398,11,6,5,337,155,182,-,-,-,-,-,-,333,152,181,4,3,1
103學年,新竹縣,274,133,141,-,-,-,-,-,-,272,132,140,2,1,1,146,54,92,-,-,-,-,-,-,140,51,89,6,3,3
103學年,苗栗縣,348,192,156,-,-,-,-,-,-,348,192,156,-,-,-,149,71,78,-,-,-,-,-,-,149,71,78,-,-,-
103學年,彰化縣,810,461,349,-,-,-,-,-,-,810,461,349,-,-,-,213,117,96,-,-,-,-,-,-,213,117,96,-,-,-
103學年,南投縣,383,242,141,-,-,-,-,-,-,378,240,138,5,2,3,146,61,85,-,-,-,-,-,-,142,61,81,4,-,4
103學年,雲林縣,434,240,194,-,-,-,-,-,-,428,236,192,6,4,2,168,91,77,-,-,-,-,-,-,155,82,73,13,9,4
103學年,嘉義縣,340,214,126,-,-,-,-,-,-,340,214,126,-,-,-,120,66,54,-,-,-,-,-,-,120,66,54,-,-,-
103學年,屏東縣,449,311,138,7,2,5,-,-,-,442,309,133,-,-,-,183,102,81,-,-,-,-,-,-,177,99,78,6,3,3
103學年,臺東縣,215,133,82,6,2,4,-,-,-,209,131,78,-,-,-,96,55,41,-,-,-,-,-,-,91,53,38,5,2,3
103學年,花蓮縣,292,149,143,7,2,5,-,-,-,281,145,136,4,2,2,105,62,43,-,-,-,-,-,-,105,62,43,-,-,-
103學年,澎湖縣,89,62,27,-,-,-,-,-,-,89,62,27,-,-,-,54,33,21,-,-,-,-,-,-,54,33,21,-,-,-
103學年,基隆市,153,91,62,-,-,-,-,-,-,151,91,60,2,-,2,62,29,33,-,-,-,-,-,-,62,29,33,-,-,-
103學年,新竹市,160,49,111,5,1,4,-,-,-,151,47,104,4,1,3,73,32,41,-,-,-,-,-,-,72,32,40,1,-,1
103學年,嘉義市,96,44,52,5,-,5,-,-,-,91,44,47,-,-,-,45,26,19,-,-,-,-,-,-,45,26,19,-,-,-
103學年,金門縣,46,27,19,-,-,-,-,-,-,46,27,19,-,-,-,26,18,8,-,-,-,-,-,-,26,18,8,-,-,-
103學年,連江縣,23,11,12,-,-,-,-,-,-,23,11,12,-,-,-,11,9,2,-,-,-,-,-,-,11,9,2,-,-,-
102學年,總計,9945,5484,4461,57,17,40,4728,2509,2219,5051,2924,2127,109,34,75,3908,2009,1899,-,-,-,1848,936,912,1998,1043,955,62,30,32
102學年,新北市,972,492,480,-,-,-,955,489,466,-,-,-,17,3,14,346,153,193,-,-,-,343,152,191,-,-,-,3,1,2
102學年,臺北市,832,382,450,11,2,9,785,369,416,-,-,-,36,11,25,356,161,195,-,-,-,347,158,189,-,-,-,9,3,6
102學年,臺中市,1123,605,518,7,3,4,1096,597,499,-,-,-,20,5,15,414,220,194,-,-,-,411,220,191,-,-,-,3,-,3
102學年,臺南市,755,440,315,8,4,4,743,434,309,-,-,-,4,2,2,309,174,135,-,-,-,302,170,132,-,-,-,7,4,3
102學年,高雄市,1149,620,529,-,-,-,1149,620,529,-,-,-,-,-,-,450,238,212,-,-,-,445,236,209,-,-,-,5,2,3
102學年,宜蘭縣,254,155,99,-,-,-,-,-,-,254,155,99,-,-,-,123,74,49,-,-,-,-,-,-,123,74,49,-,-,-
102學年,桃園縣,771,388,383,-,-,-,-,-,-,761,383,378,10,5,5,330,147,183,-,-,-,-,-,-,327,145,182,3,2,1
102學年,新竹縣,275,135,140,-,-,-,-,-,-,272,134,138,3,1,2,142,59,83,-,-,-,-,-,-,139,57,82,3,2,1
102學年,苗栗縣,349,200,149,-,-,-,-,-,-,349,200,149,-,-,-,146,75,71,-,-,-,-,-,-,146,75,71,-,-,-
102學年,彰化縣,784,460,324,-,-,-,-,-,-,784,460,324,-,-,-,209,110,99,-,-,-,-,-,-,209,110,99,-,-,-
102學年,南投縣,395,252,143,-,-,-,-,-,-,391,251,140,4,1,3,148,70,78,-,-,-,-,-,-,142,69,73,6,1,5
102學年,雲林縣,432,241,191,-,-,-,-,-,-,426,237,189,6,4,2,164,93,71,-,-,-,-,-,-,151,83,68,13,10,3
102學年,嘉義縣,340,211,129,-,-,-,-,-,-,340,211,129,-,-,-,114,63,51,-,-,-,-,-,-,114,63,51,-,-,-
102學年,屏東縣,449,317,132,7,3,4,-,-,-,442,314,128,-,-,-,180,99,81,-,-,-,-,-,-,174,96,78,6,3,3
102學年,臺東縣,216,139,77,6,2,4,-,-,-,210,137,73,-,-,-,100,61,39,-,-,-,-,-,-,97,59,38,3,2,1
102學年,花蓮縣,290,161,129,7,3,4,-,-,-,280,157,123,3,1,2,102,64,38,-,-,-,-,-,-,102,64,38,-,-,-
102學年,澎湖縣,90,61,29,-,-,-,-,-,-,90,61,29,-,-,-,55,32,23,-,-,-,-,-,-,55,32,23,-,-,-
102學年,基隆市,154,94,60,-,-,-,-,-,-,152,94,58,2,-,2,64,29,35,-,-,-,-,-,-,64,29,35,-,-,-
102學年,新竹市,152,46,106,6,-,6,-,-,-,142,45,97,4,1,3,73,32,41,-,-,-,-,-,-,72,32,40,1,-,1
102學年,嘉義市,97,45,52,5,-,5,-,-,-,92,45,47,-,-,-,45,27,18,-,-,-,-,-,-,45,27,18,-,-,-
102學年,金門縣,44,30,14,-,-,-,-,-,-,44,30,14,-,-,-,25,19,6,-,-,-,-,-,-,25,19,6,-,-,-
102學年,連江縣,22,10,12,-,-,-,-,-,-,22,10,12,-,-,-,13,9,4,-,-,-,-,-,-,13,9,4,-,-,-
101學年,總計,9782,5460,4322,60,17,43,4669,2504,2165,4934,2899,2035,119,40,79,3933,2020,1913,-,-,-,1852,944,908,2016,1045,971,65,31,34
101學年,新北市,929,473,456,-,-,-,904,466,438,-,-,-,25,7,18,362,172,190,-,-,-,351,167,184,-,-,-,11,5,6
101學年,臺北市,841,381,460,12,3,9,793,365,428,-,-,-,36,13,23,357,158,199,-,-,-,348,155,193,-,-,-,9,3,6
101學年,臺中市,1116,599,517,7,3,4,1092,592,500,-,-,-,17,4,13,419,217,202,-,-,-,419,217,202,-,-,-,-,-,-
101學年,臺南市,736,445,291,8,4,4,725,439,286,-,-,-,3,2,1,304,176,128,-,-,-,297,172,125,-,-,-,7,4,3
101學年,高雄市,1155,642,513,-,-,-,1155,642,513,-,-,-,-,-,-,442,235,207,-,-,-,437,233,204,-,-,-,5,2,3
101學年,宜蘭縣,249,154,95,-,-,-,-,-,-,249,154,95,-,-,-,121,73,48,-,-,-,-,-,-,121,73,48,-,-,-
101學年,桃園縣,743,379,364,-,-,-,-,-,-,734,375,359,9,4,5,330,147,183,-,-,-,-,-,-,328,146,182,2,1,1
101學年,新竹縣,265,140,125,-,-,-,-,-,-,262,138,124,3,2,1,140,53,87,-,-,-,-,-,-,138,52,86,2,1,1
101學年,苗栗縣,345,201,144,-,-,-,-,-,-,345,201,144,-,-,-,147,73,74,-,-,-,-,-,-,147,73,74,-,-,-
101學年,彰化縣,748,448,300,-,-,-,-,-,-,748,448,300,-,-,-,207,113,94,-,-,-,-,-,-,207,113,94,-,-,-
101學年,南投縣,397,249,148,-,-,-,-,-,-,386,247,139,11,2,9,154,72,82,-,-,-,-,-,-,148,71,77,6,1,5
101學年,雲林縣,436,246,190,-,-,-,-,-,-,430,242,188,6,4,2,168,97,71,-,-,-,-,-,-,155,87,68,13,10,3
101學年,嘉義縣,340,215,125,-,-,-,-,-,-,340,215,125,-,-,-,119,60,59,-,-,-,-,-,-,119,60,59,-,-,-
101學年,屏東縣,449,315,134,8,3,5,-,-,-,441,312,129,-,-,-,182,103,79,-,-,-,-,-,-,176,100,76,6,3,3
101學年,臺東縣,216,133,83,6,1,5,-,-,-,208,132,76,2,-,2,99,56,43,-,-,-,-,-,-,97,56,41,2,-,2
101學年,花蓮縣,275,151,124,8,3,5,-,-,-,264,147,117,3,1,2,110,69,41,-,-,-,-,-,-,110,69,41,-,-,-
101學年,澎湖縣,93,63,30,-,-,-,-,-,-,93,63,30,-,-,-,54,29,25,-,-,-,-,-,-,54,29,25,-,-,-
101學年,基隆市,141,92,49,-,-,-,-,-,-,139,91,48,2,1,1,64,34,30,-,-,-,-,-,-,64,34,30,-,-,-
101學年,新竹市,152,49,103,6,-,6,-,-,-,144,49,95,2,-,2,73,29,44,-,-,-,-,-,-,71,28,43,2,1,1
101學年,嘉義市,91,44,47,5,-,5,-,-,-,86,44,42,-,-,-,46,29,17,-,-,-,-,-,-,46,29,17,-,-,-
101學年,金門縣,42,29,13,-,-,-,-,-,-,42,29,13,-,-,-,23,16,7,-,-,-,-,-,-,23,16,7,-,-,-
101學年,連江縣,23,12,11,-,-,-,-,-,-,23,12,11,-,-,-,12,9,3,-,-,-,-,-,-,12,9,3,-,-,-
100學年,總計,9691,5488,4203,63,23,40,4595,2496,2099,4913,2930,1983,120,39,81,3981,2073,1908,-,-,-,1872,954,918,2046,1090,956,63,29,34
100學年,新北市,935,489,446,-,-,-,911,482,429,-,-,-,24,7,17,380,185,195,-,-,-,372,180,192,-,-,-,8,5,3
100學年,臺北市,847,373,474,12,3,9,799,358,441,-,-,-,36,12,24,359,155,204,-,-,-,352,153,199,-,-,-,7,2,5
100學年,臺中市,1094,586,508,7,4,3,1065,575,490,-,-,-,22,7,15,421,222,199,-,-,-,419,221,198,-,-,-,2,1,1
100學年,臺南市,708,460,248,6,6,-,699,452,247,-,-,-,3,2,1,301,177,124,-,-,-,294,173,121,-,-,-,7,4,3
100學年,高雄市,1121,629,492,-,-,-,1121,629,492,-,-,-,-,-,-,440,229,211,-,-,-,435,227,208,-,-,-,5,2,3
100學年,宜蘭縣,259,160,99,-,-,-,-,-,-,259,160,99,-,-,-,121,76,45,-,-,-,-,-,-,121,76,45,-,-,-
100學年,桃園縣,719,375,344,-,-,-,-,-,-,713,372,341,6,3,3,329,155,174,-,-,-,-,-,-,329,155,174,-,-,-
100學年,新竹縣,257,139,118,-,-,-,-,-,-,256,139,117,1,-,1,138,60,78,-,-,-,-,-,-,137,60,77,1,-,1
100學年,苗栗縣,342,203,139,-,-,-,-,-,-,342,203,139,-,-,-,143,72,71,-,-,-,-,-,-,143,72,71,-,-,-
100學年,彰化縣,734,442,292,-,-,-,-,-,-,734,442,292,-,-,-,219,121,98,-,-,-,-,-,-,219,121,98,-,-,-
100學年,南投縣,398,254,144,-,-,-,-,-,-,386,251,135,12,3,9,154,75,79,-,-,-,-,-,-,147,73,74,7,2,5
100學年,雲林縣,436,243,193,-,-,-,-,-,-,431,240,191,5,3,2,169,98,71,-,-,-,-,-,-,156,89,67,13,9,4
100學年,嘉義縣,340,210,130,-,-,-,-,-,-,340,210,130,-,-,-,120,60,60,-,-,-,-,-,-,120,60,60,-,-,-
100學年,屏東縣,463,335,128,8,3,5,-,-,-,455,332,123,-,-,-,184,100,84,-,-,-,-,-,-,177,97,80,7,3,4
100學年,臺東縣,217,139,78,8,2,6,-,-,-,205,137,68,4,-,4,97,57,40,-,-,-,-,-,-,93,57,36,4,-,4
100學年,花蓮縣,270,154,116,8,3,5,-,-,-,259,150,109,3,1,2,108,68,40,-,-,-,-,-,-,108,68,40,-,-,-
100學年,澎湖縣,93,68,25,-,-,-,-,-,-,93,68,25,-,-,-,56,31,25,-,-,-,-,-,-,56,31,25,-,-,-
100學年,基隆市,147,94,53,-,-,-,-,-,-,145,93,52,2,1,1,79,42,37,-,-,-,-,-,-,79,42,37,-,-,-
100學年,新竹市,149,53,96,6,-,6,-,-,-,141,53,88,2,-,2,74,33,41,-,-,-,-,-,-,72,32,40,2,1,1
100學年,嘉義市,98,40,58,8,2,6,-,-,-,90,38,52,-,-,-,49,28,21,-,-,-,-,-,-,49,28,21,-,-,-
100學年,金門縣,42,32,10,-,-,-,-,-,-,42,32,10,-,-,-,25,18,7,-,-,-,-,-,-,25,18,7,-,-,-
100學年,連江縣,22,10,12,-,-,-,-,-,-,22,10,12,-,-,-,15,11,4,-,-,-,-,-,-,15,11,4,-,-,-
99學年,總計,9559,5427,4132,64,17,47,1319,623,696,8048,4740,3308,128,47,81,3973,2071,1902,-,-,-,569,251,318,3341,1790,1551,63,30,33
99學年,臺北市,862,373,489,12,2,10,812,358,454,-,-,-,38,13,25,365,149,216,-,-,-,356,147,209,-,-,-,9,2,7
99學年,高雄市,507,265,242,-,-,-,507,265,242,-,-,-,-,-,-,217,105,112,-,-,-,213,104,109,-,-,-,4,1,3
