學年別,學門別,總計計,總計男,總計女,副學士(五專)計,副學士(五專)男,副學士(五專)女,副學士(二專)計,副學士(二專)男,副學士(二專)女,學士後學士學位計,學士後學士學位男,學士後學士學位女,二年制學士(含二技)計,二年制學士(含二技)男,二年制學士(含二技)女,四年制學士(含四技)計,四年制學士(含四技)男,四年制學士(含四技)女,碩士計,碩士男,碩士女,博士計,博士男,博士女
103學年,生命科學學門,5108,2732,2376,-,-,-,-,-,-,-,-,-,84,26,58,3254,1774,1480,1492,761,731,278,171,107
103學年,自然科學學門,5550,4005,1545,-,-,-,-,-,-,-,-,-,-,-,-,3351,2428,923,1915,1345,570,284,232,52
103學年,數學及統計學門,3377,2131,1246,-,-,-,-,-,-,-,-,-,-,-,-,2583,1624,959,759,478,281,35,29,6
103學年,電算機學門,16872,10820,6052,670,354,316,349,178,171,-,-,-,706,432,274,12985,8477,4508,2103,1333,770,59,46,13
103學年,工程學門,67110,57467,9643,622,563,59,378,358,20,53,50,3,1460,1243,217,45416,39324,6092,17720,14654,3066,1461,1275,186
103學年,建築及都市規劃學門,3111,1578,1533,14,11,3,47,24,23,-,-,-,19,8,11,2324,1167,1157,684,354,330,23,14,9
103學年,農業科學學門,5985,2786,3199,22,3,19,84,50,34,-,-,-,-,-,-,4457,2001,2456,1316,663,653,106,69,37
103學年,獸醫學門,409,217,192,-,-,-,-,-,-,-,-,-,-,-,-,266,136,130,128,71,57,15,10,5
103學年,醫藥衛生學門,28256,7023,21233,8048,751,7297,508,326,182,35,19,16,6136,538,5598,10629,4276,6353,2422,846,1576,478,267,211
103學年,社會服務學門,8291,994,7297,487,14,473,719,50,669,-,-,-,2023,166,1857,4605,678,3927,450,83,367,7,3,4
103學年,民生學門,31520,11603,19917,1793,346,1447,1337,518,819,-,-,-,1820,600,1220,24704,9344,15360,1852,783,1069,14,12,2
103學年,運輸服務學門,2273,1156,1117,36,24,12,37,30,7,104,90,14,117,54,63,1581,753,828,380,190,190,18,15,3
103學年,環境保護學門,398,227,171,-,-,-,-,-,-,-,-,-,-,-,-,296,171,125,99,55,44,3,1,2
103學年,軍警國防安全學門,169,148,21,-,-,-,-,-,-,-,-,-,-,-,-,152,133,19,17,15,2,-,-,-
103學年,其他學門,62,33,29,-,-,-,-,-,-,-,-,-,-,-,-,24,22,2,36,11,25,2,-,2
102學年,總計,311041,151424,159617,13340,2412,10928,4900,2168,2732,247,173,74,18550,5123,13427,209965,104194,105771,59991,34484,25507,4048,2870,1178
102學年,教育學門,9185,2860,6325,-,-,-,-,-,-,-,-,-,26,3,23,4776,1512,3264,4088,1198,2890,295,147,148
102學年,藝術學門,5524,1462,4062,65,12,53,7,4,3,15,7,8,312,35,277,3653,1005,2648,1438,384,1054,34,15,19
102學年,人文學門,23194,5728,17466,1115,152,963,19,8,11,-,-,-,769,158,611,18517,4562,13955,2494,731,1763,280,117,163
102學年,設計學門,12196,4407,7789,199,76,123,91,59,32,2,-,2,457,148,309,10382,3620,6762,1024,486,538,41,18,23
102學年,社會及行為科學學門,11393,4673,6720,-,-,-,-,-,-,-,-,-,9,2,7,7529,3008,4521,3659,1546,2113,196,117,79
102學年,傳播學門,5716,1937,3779,-,-,-,-,-,-,-,-,-,79,32,47,4916,1646,3270,713,257,456,8,2,6
102學年,商業及管理學門,59231,22874,36357,1134,228,906,877,412,465,56,31,25,3488,1267,2221,40906,14684,26222,12421,6036,6385,349,216,133
102學年,法律學門,4288,1968,2320,-,-,-,-,-,-,-,-,-,76,43,33,3187,1380,1807,1006,532,474,19,13,6
102學年,生命科學學門,5257,2769,2488,-,-,-,30,1,29,-,-,-,110,33,77,3249,1732,1517,1615,841,774,253,162,91
102學年,自然科學學門,5674,4095,1579,-,-,-,-,-,-,-,-,-,-,-,-,3408,2454,954,1952,1380,572,314,261,53
102學年,數學及統計學門,3530,2269,1261,-,-,-,-,-,-,-,-,-,-,-,-,2641,1698,943,837,531,306,52,40,12
102學年,電算機學門,16933,10915,6018,613,328,285,347,163,184,-,-,-,849,547,302,12845,8334,4511,2222,1497,725,57,46,11
102學年,工程學門,69630,60134,9496,585,535,50,444,416,28,73,62,11,1673,1429,244,46252,40377,5875,19087,15962,3125,1516,1353,163
102學年,建築及都市規劃學門,3112,1541,1571,13,10,3,42,23,19,-,-,-,34,20,14,2280,1108,1172,719,363,356,24,17,7
102學年,農業科學學門,6253,3008,3245,-,-,-,57,33,24,-,-,-,-,-,-,4756,2253,2503,1341,662,679,99,60,39
102學年,獸醫學門,385,199,186,-,-,-,-,-,-,-,-,-,-,-,-,250,122,128,117,65,52,18,12,6
102學年,醫藥衛生學門,28380,6871,21509,7656,721,6935,519,298,221,35,17,18,6507,492,6015,10721,4219,6502,2477,864,1613,465,260,205
