學年別,學門別,總計計,總計男,總計女,五專(含七年)計,五專(含七年)男,五專(含七年)女,二專計,二專男,二專女,學士後學士學位計,學士後學士學位男,學士後學士學位女,大學二年制(含二技)計,大學二年制(含二技)男,大學二年制(含二技)女,大學四年制(含四技)計,大學四年制(含四技)男,大學四年制(含四技)女,碩士班計,碩士班男,碩士班女,博士班計,博士班男,博士班女
98學年,環境保護學門,986,543,443,-,-,-,-,-,-,-,-,-,7,7,-,548,282,266,407,240,167,24,14,10
98學年,其他學門,1248,545,703,-,-,-,-,-,-,-,-,-,-,-,-,1215,533,682,33,12,21,-,-,-
97學年,總計,685090,357648,327442,220,68,152,2,2,-,-,-,-,9018,2275,6743,497608,250983,246625,148032,82744,65288,30210,21576,8634
97學年,教育學門,42137,15505,26632,-,-,-,-,-,-,-,-,-,113,12,101,21980,8117,13863,17819,6265,11554,2225,1111,1114
97學年,藝術學門,20963,5909,15054,220,68,152,-,-,-,-,-,-,304,51,253,14030,3792,10238,6120,1866,4254,289,132,157
97學年,人文學門,76415,22228,54187,-,-,-,-,-,-,-,-,-,917,149,768,60513,17006,43507,12718,4060,8658,2267,1013,1254
97學年,設計學門,12016,4908,7108,-,-,-,-,-,-,-,-,-,127,41,86,9916,3786,6130,1833,980,853,140,101,39
97學年,社會及行為科學學門,49131,21908,27223,-,-,-,-,-,-,-,-,-,156,40,116,33283,14010,19273,13913,6745,7168,1779,1113,666
97學年,傳播學門,20689,7484,13205,-,-,-,-,-,-,-,-,-,346,125,221,17496,6253,11243,2748,1065,1683,99,41,58
97學年,商業及管理學門,110195,48217,61978,-,-,-,-,-,-,-,-,-,2399,650,1749,84102,34619,49483,21341,11562,9779,2353,1386,967
97學年,法律學門,18586,9534,9052,-,-,-,-,-,-,-,-,-,297,184,113,13248,6318,6930,4790,2834,1956,251,198,53
97學年,生命科學學門,18175,10360,7815,-,-,-,-,-,-,-,-,-,33,2,31,11831,6722,5109,4264,2344,1920,2047,1292,755
97學年,自然科學學門,22141,16696,5445,-,-,-,-,-,-,-,-,-,-,-,-,14997,11428,3569,5064,3593,1471,2080,1675,405
97學年,數學及統計學門,16154,10679,5475,-,-,-,-,-,-,-,-,-,-,-,-,13466,8897,4569,2294,1476,818,394,306,88
97學年,電算機學門,22645,14938,7707,-,-,-,2,2,-,-,-,-,377,261,116,17869,11472,6397,3936,2875,1061,461,328,133
97學年,工程學門,136221,116317,19904,-,-,-,-,-,-,-,-,-,449,333,116,90494,76539,13955,33863,29192,4671,11415,10253,1162
97學年,建築及都市規劃學門,9677,5140,4537,-,-,-,-,-,-,-,-,-,35,23,12,7063,3532,3531,2348,1423,925,231,162,69
97學年,農業科學學門,15182,7622,7560,-,-,-,-,-,-,-,-,-,6,3,3,11611,5692,5919,2736,1382,1354,829,545,284
97學年,獸醫學門,1464,737,727,-,-,-,-,-,-,-,-,-,-,-,-,1031,506,525,282,131,151,151,100,51
97學年,醫藥衛生學門,45224,19528,25696,-,-,-,-,-,-,-,-,-,2651,203,2448,33661,15439,18222,6018,2251,3767,2894,1635,1259
97學年,社會服務學門,9131,2143,6988,-,-,-,-,-,-,-,-,-,379,34,345,7196,1808,5388,1464,268,1196,92,33,59
97學年,民生學門,29395,12606,16789,-,-,-,-,-,-,-,-,-,397,137,260,25891,10917,14974,3056,1517,1539,51,35,16
97學年,運輸服務學門,6425,3539,2886,-,-,-,-,-,-,-,-,-,-,-,-,5342,2827,2515,937,606,331,146,106,40
97學年,環境保護學門,1568,1023,545,-,-,-,-,-,-,-,-,-,32,27,5,1061,688,373,459,297,162,16,11,5
97學年,其他學門,1556,627,929,-,-,-,-,-,-,-,-,-,-,-,-,1527,615,912,29,12,17,-,-,-
""
