學年別,縣市別,國民小學總計計,國民小學總計男,國民小學總計女,國民小學國立計,國民小學國立男,國民小學國立女,國民小學直轄市立計,國民小學直轄市立男,國民小學直轄市立女,國民小學縣市立計,國民小學縣市立男,國民小學縣市立女,國民小學私立計,國民小學私立男,國民小學私立女,國民中學總計計,國民中學總計男,國民中學總計女,國民中學國立計,國民中學國立男,國民中學國立女,國民中學直轄市立計,國民中學直轄市立男,國民中學直轄市立女,國民中學縣市立計,國民中學縣市立男,國民中學縣市立女,國民中學私立計,國民中學私立男,國民中學私立女
103學年,臺南市,1156,506,650,20,6,14,1130,496,634,-,-,-,6,4,2,596,247,349,-,-,-,586,240,346,-,-,-,10,7,3
103學年,高雄市,1960,748,1212,-,-,-,1960,748,1212,-,-,-,-,-,-,847,328,519,-,-,-,844,327,517,-,-,-,3,1,2
103學年,宜蘭縣,435,218,217,-,-,-,-,-,-,435,218,217,-,-,-,275,112,163,-,-,-,-,-,-,275,112,163,-,-,-
103學年,桃園縣,1575,645,930,-,-,-,-,-,-,1566,643,923,9,2,7,750,299,451,-,-,-,-,-,-,746,297,449,4,2,2
103學年,新竹縣,479,144,335,-,-,-,-,-,-,478,144,334,1,-,1,254,85,169,-,-,-,-,-,-,245,77,168,9,8,1
103學年,苗栗縣,568,236,332,-,-,-,-,-,-,568,236,332,-,-,-,243,95,148,-,-,-,-,-,-,243,95,148,-,-,-
103學年,彰化縣,873,430,443,-,-,-,-,-,-,873,430,443,-,-,-,446,204,242,-,-,-,-,-,-,446,204,242,-,-,-
103學年,南投縣,504,247,257,-,-,-,-,-,-,498,246,252,6,1,5,228,105,123,-,-,-,-,-,-,223,104,119,5,1,4
103學年,雲林縣,707,324,383,-,-,-,-,-,-,701,322,379,6,2,4,336,151,185,-,-,-,-,-,-,308,135,173,28,16,12
103學年,嘉義縣,403,226,177,-,-,-,-,-,-,403,226,177,-,-,-,236,98,138,-,-,-,-,-,-,236,98,138,-,-,-
103學年,屏東縣,726,373,353,15,5,10,-,-,-,711,368,343,-,-,-,328,151,177,-,-,-,-,-,-,317,145,172,11,6,5
103學年,臺東縣,289,118,171,13,2,11,-,-,-,276,116,160,-,-,-,177,73,104,-,-,-,-,-,-,170,69,101,7,4,3
103學年,花蓮縣,345,126,219,17,6,11,-,-,-,326,119,207,2,1,1,175,85,90,-,-,-,-,-,-,175,85,90,-,-,-
103學年,澎湖縣,117,57,60,-,-,-,-,-,-,117,57,60,-,-,-,62,37,25,-,-,-,-,-,-,62,37,25,-,-,-
103學年,基隆市,282,116,166,-,-,-,-,-,-,279,115,164,3,1,2,133,49,84,-,-,-,-,-,-,133,49,84,-,-,-
103學年,新竹市,344,93,251,18,3,15,-,-,-,320,88,232,6,2,4,165,61,104,-,-,-,-,-,-,162,60,102,3,1,2
103學年,嘉義市,248,106,142,17,6,11,-,-,-,231,100,131,-,-,-,105,50,55,-,-,-,-,-,-,105,50,55,-,-,-
103學年,金門縣,77,31,46,-,-,-,-,-,-,77,31,46,-,-,-,47,27,20,-,-,-,-,-,-,47,27,20,-,-,-
103學年,連江縣,16,9,7,-,-,-,-,-,-,16,9,7,-,-,-,12,7,5,-,-,-,-,-,-,12,7,5,-,-,-
102學年,總計,16991,7153,9838,137,42,95,8741,3501,5240,7944,3543,4401,169,67,102,7928,3263,4665,-,-,-,3947,1524,2423,3871,1682,2189,110,57,53
102學年,新北市,1965,788,1177,-,-,-,1937,776,1161,-,-,-,28,12,16,829,306,523,-,-,-,819,303,516,-,-,-,10,3,7
102學年,臺北市,1730,607,1123,23,7,16,1638,568,1070,-,-,-,69,32,37,792,276,516,-,-,-,781,271,510,-,-,-,11,5,6
102學年,臺中市,2090,911,1179,16,4,12,2047,902,1145,-,-,-,27,5,22,950,416,534,-,-,-,944,414,530,-,-,-,6,2,4
102學年,臺南市,1160,515,645,19,6,13,1140,509,631,-,-,-,1,-,1,578,243,335,-,-,-,568,236,332,-,-,-,10,7,3
102學年,高雄市,1979,746,1233,-,-,-,1979,746,1233,-,-,-,-,-,-,838,301,537,-,-,-,835,300,535,-,-,-,3,1,2
102學年,宜蘭縣,437,228,209,-,-,-,-,-,-,437,228,209,-,-,-,273,114,159,-,-,-,-,-,-,273,114,159,-,-,-
102學年,桃園縣,1574,648,926,-,-,-,-,-,-,1566,647,919,8,1,7,742,301,441,-,-,-,-,-,-,739,300,439,3,1,2
102學年,新竹縣,478,162,316,-,-,-,-,-,-,469,157,312,9,5,4,246,88,158,-,-,-,-,-,-,240,84,156,6,4,2
102學年,苗栗縣,570,249,321,-,-,-,-,-,-,570,249,321,-,-,-,243,93,150,-,-,-,-,-,-,243,93,150,-,-,-
102學年,彰化縣,884,436,448,-,-,-,-,-,-,884,436,448,-,-,-,435,204,231,-,-,-,-,-,-,435,204,231,-,-,-
102學年,南投縣,520,260,260,-,-,-,-,-,-,512,257,255,8,3,5,237,108,129,-,-,-,-,-,-,227,106,121,10,2,8
102學年,雲林縣,719,329,390,-,-,-,-,-,-,713,328,385,6,1,5,349,160,189,-,-,-,-,-,-,316,138,178,33,22,11
102學年,嘉義縣,408,230,178,-,-,-,-,-,-,408,230,178,-,-,-,225,95,130,-,-,-,-,-,-,225,95,130,-,-,-
102學年,屏東縣,733,365,368,15,4,11,-,-,-,718,361,357,-,-,-,327,167,160,-,-,-,-,-,-,315,160,155,12,7,5
102學年,臺東縣,300,129,171,13,3,10,-,-,-,287,126,161,-,-,-,158,71,87,-,-,-,-,-,-,155,69,86,3,2,1
102學年,花蓮縣,355,129,226,18,7,11,-,-,-,334,119,215,3,3,-,170,83,87,-,-,-,-,-,-,170,83,87,-,-,-
102學年,澎湖縣,118,55,63,-,-,-,-,-,-,118,55,63,-,-,-,63,36,27,-,-,-,-,-,-,63,36,27,-,-,-
102學年,基隆市,290,128,162,-,-,-,-,-,-,287,126,161,3,2,1,147,53,94,-,-,-,-,-,-,147,53,94,-,-,-
102學年,新竹市,343,99,244,18,4,14,-,-,-,318,92,226,7,3,4,164,67,97,-,-,-,-,-,-,161,66,95,3,1,2
102學年,嘉義市,246,104,142,15,7,8,-,-,-,231,97,134,-,-,-,101,48,53,-,-,-,-,-,-,101,48,53,-,-,-
102學年,金門縣,77,27,50,-,-,-,-,-,-,77,27,50,-,-,-,47,25,22,-,-,-,-,-,-,47,25,22,-,-,-
102學年,連江縣,15,8,7,-,-,-,-,-,-,15,8,7,-,-,-,14,8,6,-,-,-,-,-,-,14,8,6,-,-,-
101學年,總計,17129,7361,9768,130,40,90,8707,3574,5133,8118,3677,4441,174,70,104,7884,3358,4526,-,-,-,3921,1576,2345,3859,1726,2133,104,56,48
101學年,新北市,1976,809,1167,-,-,-,1950,797,1153,-,-,-,26,12,14,845,319,526,-,-,-,825,310,515,-,-,-,20,9,11
101學年,臺北市,1764,640,1124,23,7,16,1678,606,1072,-,-,-,63,27,36,794,288,506,-,-,-,783,283,500,-,-,-,11,5,6
101學年,臺中市,2055,913,1142,16,3,13,2018,906,1112,-,-,-,21,4,17,928,416,512,-,-,-,928,416,512,-,-,-,-,-,-
101學年,臺南市,1048,508,540,18,6,12,1029,502,527,-,-,-,1,-,1,558,249,309,-,-,-,548,242,306,-,-,-,10,7,3
101學年,高雄市,2032,763,1269,-,-,-,2032,763,1269,-,-,-,-,-,-,838,325,513,-,-,-,837,325,512,-,-,-,1,-,1
101學年,宜蘭縣,429,220,209,-,-,-,-,-,-,429,220,209,-,-,-,263,116,147,-,-,-,-,-,-,263,116,147,-,-,-
