學年別,縣市別,總計計,總計男,總計女,國立計,國立男,國立女,直轄市立計,直轄市立男,直轄市立女,縣市立計,縣市立男,縣市立女,私立計,私立男,私立女
97學年,新竹縣,51,1,50,-,-,-,-,-,-,51,1,50,-,-,-
97學年,苗栗縣,69,-,69,-,-,-,-,-,-,69,-,69,-,-,-
97學年,臺中縣,259,13,246,-,-,-,-,-,-,259,13,246,-,-,-
97學年,彰化縣,59,3,56,-,-,-,-,-,-,59,3,56,-,-,-
97學年,南投縣,60,-,60,-,-,-,-,-,-,60,-,60,-,-,-
97學年,雲林縣,85,-,85,-,-,-,-,-,-,85,-,85,-,-,-
97學年,嘉義縣,40,-,40,-,-,-,-,-,-,40,-,40,-,-,-
97學年,臺南縣,100,-,100,-,-,-,-,-,-,100,-,100,-,-,-
97學年,高雄縣,156,6,150,-,-,-,-,-,-,156,6,150,-,-,-
97學年,屏東縣,105,-,105,-,-,-,-,-,-,105,-,105,-,-,-
97學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,花蓮縣,95,1,94,-,-,-,-,-,-,95,1,94,-,-,-
97學年,澎湖縣,8,-,8,-,-,-,-,-,-,8,-,8,-,-,-
97學年,基隆市,84,22,62,-,-,-,-,-,-,84,22,62,-,-,-
97學年,新竹市,29,-,29,-,-,-,-,-,-,29,-,29,-,-,-
97學年,臺中市,78,2,76,-,-,-,-,-,-,78,2,76,-,-,-
97學年,嘉義市,9,-,9,-,-,-,-,-,-,9,-,9,-,-,-
97學年,臺南市,62,1,61,-,-,-,-,-,-,62,1,61,-,-,-
97學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96學年,總計,3406,123,3283,-,-,-,576,58,518,2830,65,2765,-,-,-
96學年,臺北市,397,53,344,-,-,-,397,53,344,-,-,-,-,-,-
96學年,高雄市,179,5,174,-,-,-,179,5,174,-,-,-,-,-,-
96學年,臺北縣,1077,26,1051,-,-,-,-,-,-,1077,26,1051,-,-,-
96學年,宜蘭縣,80,2,78,-,-,-,-,-,-,80,2,78,-,-,-
96學年,桃園縣,386,9,377,-,-,-,-,-,-,386,9,377,-,-,-
96學年,新竹縣,68,-,68,-,-,-,-,-,-,68,-,68,-,-,-
96學年,苗栗縣,48,1,47,-,-,-,-,-,-,48,1,47,-,-,-
96學年,臺中縣,182,3,179,-,-,-,-,-,-,182,3,179,-,-,-
96學年,彰化縣,54,-,54,-,-,-,-,-,-,54,-,54,-,-,-
96學年,南投縣,55,-,55,-,-,-,-,-,-,55,-,55,-,-,-
96學年,雲林縣,46,-,46,-,-,-,-,-,-,46,-,46,-,-,-
96學年,嘉義縣,23,-,23,-,-,-,-,-,-,23,-,23,-,-,-
96學年,臺南縣,90,1,89,-,-,-,-,-,-,90,1,89,-,-,-
96學年,高雄縣,123,5,118,-,-,-,-,-,-,123,5,118,-,-,-
96學年,屏東縣,135,2,133,-,-,-,-,-,-,135,2,133,-,-,-
96學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96學年,花蓮縣,32,-,32,-,-,-,-,-,-,32,-,32,-,-,-
96學年,澎湖縣,3,-,3,-,-,-,-,-,-,3,-,3,-,-,-
96學年,基隆市,89,-,89,-,-,-,-,-,-,89,-,89,-,-,-
96學年,新竹市,106,9,97,-,-,-,-,-,-,106,9,97,-,-,-
96學年,臺中市,150,4,146,-,-,-,-,-,-,150,4,146,-,-,-
96學年,嘉義市,16,1,15,-,-,-,-,-,-,16,1,15,-,-,-
96學年,臺南市,67,2,65,-,-,-,-,-,-,67,2,65,-,-,-
96學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
""
