學年別,縣市別,校數總計,校數公立,校數私立,教師數總計,教師數公立,教師數私立,職員數總計,職員數公立,職員數私立,班級數總計,班級數公立,班級數私立,學生數總計,學生數公立,學生數私立,上學年畢業生數總計,上學年畢業生數公立,上學年畢業生數私立
102學年,新竹市,2,2,-,236,236,-,52,52,-,151,57,94,5982,2139,3843,1767,597,1170
102學年,嘉義市,6,4,2,661,535,126,145,102,43,241,136,105,9659,5218,4441,2840,1547,1293
102學年,金門縣,1,1,-,87,87,-,33,33,-,36,36,-,993,993,-,332,332,-
102學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,總計,155,92,63,17166,12072,5094,4040,2621,1419,8932,3690,5242,369436,135004,234432,109863,41441,68422
101學年,新北市,16,5,11,1832,828,1004,438,164,274,1060,289,771,46128,10684,35444,13691,3331,10360
101學年,臺北市,17,7,10,2208,1470,738,467,279,188,1137,485,652,46469,17600,28869,14026,5254,8772
101學年,臺中市,9,8,1,1370,1282,88,303,275,28,1237,393,844,55927,15021,40906,16517,4710,11807
101學年,臺南市,16,10,6,1518,1161,357,381,274,107,709,331,378,27083,11622,15461,8199,3704,4495
101學年,高雄市,18,8,10,2317,1255,1062,511,245,266,1078,362,716,44683,13869,30814,12816,4276,8540
101學年,宜蘭縣,5,5,-,567,567,-,128,128,-,144,144,-,5405,5405,-,1681,1681,-
101學年,桃園縣,7,4,3,802,524,278,186,106,80,778,174,604,35997,6799,29198,10279,1920,8359
101學年,新竹縣,1,-,1,63,-,63,14,-,14,150,30,120,5949,978,4971,2102,316,1786
101學年,苗栗縣,7,3,4,492,313,179,143,84,59,248,124,124,9265,4641,4624,2825,1421,1404
101學年,彰化縣,11,9,2,1394,1120,274,343,237,106,549,311,238,23491,11975,11516,7318,3851,3467
101學年,南投縣,6,5,1,591,486,105,145,119,26,224,169,55,8356,5836,2520,2209,1669,540
101學年,雲林縣,7,5,2,683,469,214,171,118,53,266,148,118,10191,5394,4797,3064,1664,1400
101學年,嘉義縣,4,1,3,368,108,260,88,28,60,153,53,100,6151,1897,4254,2033,630,1403
