學年別,年齡別,總計計小計,總計計男,總計計女,總計1年級小計,總計1年級男,總計1年級女,總計2年級小計,總計2年級男,總計2年級女,總計3年級小計,總計3年級男,總計3年級女,總計4年級小計,總計4年級男,總計4年級女,總計5年級小計,總計5年級男,總計5年級女,總計6年級小計,總計6年級男,總計6年級女,總計7年級小計,總計7年級男,總計7年級女,總計延修生小計,總計延修生男,總計延修生女,五專計小計,五專計男,五專計女,五專1年級小計,五專1年級男,五專1年級女,五專2年級小計,五專2年級男,五專2年級女,五專3年級小計,五專3年級男,五專3年級女,五專4年級小計,五專4年級男,五專4年級女,五專5年級小計,五專5年級男,五專5年級女,五專6年級小計,五專6年級男,五專6年級女,五專7年級小計,五專7年級男,五專7年級女,五專延修生小計,五專延修生男,五專延修生女,二專計小計,二專計男,二專計女,二專1年級小計,二專1年級男,二專1年級女,二專2年級小計,二專2年級男,二專2年級女,二專3年級小計,二專3年級男,二專3年級女,二專4年級小計,二專4年級男,二專4年級女,二專5年級小計,二專5年級男,二專5年級女,二專6年級小計,二專6年級男,二專6年級女,二專7年級小計,二專7年級男,二專7年級女,二專延修生小計,二專延修生男,二專延修生女,學士班計小計,學士班計男,學士班計女,學士班1年級小計,學士班1年級男,學士班1年級女,學士班2年級小計,學士班2年級男,學士班2年級女,學士班3年級小計,學士班3年級男,學士班3年級女,學士班4年級小計,學士班4年級男,學士班4年級女,學士班5年級小計,學士班5年級男,學士班5年級女,學士班6年級小計,學士班6年級男,學士班6年級女,學士班7年級小計,學士班7年級男,學士班7年級女,學士班延修生小計,學士班延修生男,學士班延修生女,碩士班計小計,碩士班計男,碩士班計女,碩士班1年級小計,碩士班1年級男,碩士班1年級女,碩士班2年級小計,碩士班2年級男,碩士班2年級女,碩士班3年級小計,碩士班3年級男,碩士班3年級女,碩士班4年級小計,碩士班4年級男,碩士班4年級女,碩士班5年級小計,碩士班5年級男,碩士班5年級女,碩士班6年級小計,碩士班6年級男,碩士班6年級女,碩士班7年級小計,碩士班7年級男,碩士班7年級女,碩士班延修生小計,碩士班延修生男,碩士班延修生女,博士班計小計,博士班計男,博士班計女,博士班1年級小計,博士班1年級男,博士班1年級女,博士班2年級小計,博士班2年級男,博士班2年級女,博士班3年級小計,博士班3年級男,博士班3年級女,博士班4年級小計,博士班4年級男,博士班4年級女,博士班5年級小計,博士班5年級男,博士班5年級女,博士班6年級小計,博士班6年級男,博士班6年級女,博士班7年級小計,博士班7年級男,博士班7年級女,博士班延修生小計,博士班延修生男,博士班延修生女
101學年,未滿16歲,17111,4224,12887,16942,4172,12770,168,51,117,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17110,4223,12887,16941,4171,12770,168,51,117,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,16至未滿17歲,18466,4442,14024,2301,696,1605,16087,3730,12357,78,16,62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18448,4434,14014,2285,689,1596,16086,3729,12357,77,16,61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,8,10,16,7,9,1,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,17至未滿18歲,19305,4857,14448,1463,679,784,2344,667,1677,15423,3493,11930,75,18,57,-,-,-,-,-,-,-,-,-,-,-,-,17977,4250,13727,147,75,72,2333,664,1669,15422,3493,11929,75,18,57,-,-,-,-,-,-,-,-,-,-,-,-,15,7,8,15,7,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1312,600,712,1300,597,703,11,3,8,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,18至未滿19歲,204452,98107,106345,186377,93573,92804,1629,732,897,2425,707,1718,13918,3080,10838,103,15,88,-,-,-,-,-,-,-,-,-,16684,3925,12759,31,24,7,229,110,119,2405,697,1708,13916,3079,10837,103,15,88,-,-,-,-,-,-,-,-,-,2046,1060,986,2035,1051,984,11,9,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,185722,93122,92600,184311,92498,91813,1389,613,776,20,10,10,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,19至未滿20歲,238466,116709,121757,47303,25320,21983,174908,87312,87596,1673,713,960,1986,594,1392,12581,2764,9817,-,-,-,-,-,-,15,6,9,14835,3491,11344,9,7,2,53,31,22,200,91,109,1977,592,1385,12581,2764,9817,-,-,-,-,-,-,15,6,9,2953,1605,1348,1115,666,449,1837,939,898,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,220674,111612,109062,46176,24646,21530,173017,86342,86675,1472,622,850,9,2,7,-,-,-,-,-,-,-,-,-,-,-,-,3,1,2,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,20至未滿21歲,227965,112924,115041,10380,5890,4490,44410,23969,20441,168650,81436,87214,1472,617,855,1781,516,1265,-,-,-,-,-,-,1272,496,776,3077,1008,2069,7,5,2,14,8,6,42,23,19,135,66,69,1781,516,1265,-,-,-,-,-,-,1098,390,708,1382,711,671,353,205,148,753,374,379,104,28,76,-,-,-,-,-,-,-,-,-,-,-,-,172,104,68,223494,111199,112295,10009,5674,4335,43643,23587,20056,168503,81385,87118,1337,551,786,-,-,-,-,-,-,-,-,-,2,2,-,12,6,6,11,6,5,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,21至未滿22歲,218493,108347,110146,4050,2326,1724,10681,6023,4658,43826,22895,20931,158967,76676,82291,174,75,99,-,-,-,-,-,-,795,352,443,615,238,377,5,3,2,9,6,3,10,7,3,39,22,17,134,53,81,-,-,-,-,-,-,418,147,271,664,310,354,191,96,95,261,125,136,47,8,39,-,-,-,-,-,-,-,-,-,-,-,-,165,81,84,216905,107655,109250,3559,2086,1473,10397,5889,4508,43769,22880,20889,158928,76654,82274,40,22,18,-,-,-,-,-,-,212,124,88,308,143,165,294,140,154,14,3,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,22至未滿23歲,108243,61994,46249,25395,16119,9276,4269,2500,1769,11576,6311,5265,43655,22493,21162,2730,1247,1483,27,13,14,2,2,-,20589,13309,7280,183,72,111,2,2,-,1,1,-,4,3,1,11,4,7,36,16,20,-,-,-,-,-,-,129,46,83,458,245,213,149,85,64,183,96,87,10,3,7,-,-,-,-,-,-,-,-,-,-,-,-,116,61,55,84017,46661,37356,1925,1152,773,3820,2267,1553,11561,6305,5256,43644,22489,21155,2694,1231,1463,27,13,14,2,2,-,20344,13202,7142,23552,14990,8562,23288,14856,8432,263,134,129,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,26,7,31,24,7,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,23至未滿24歲,62621,38129,24492,12348,7729,4619,22096,13948,8148,4586,2542,2044,10598,5718,4880,1243,582,661,798,510,288,25,18,7,10927,7082,3845,63,30,33,4,3,1,2,1,1,3,3,-,8,4,4,11,4,7,-,-,-,-,-,-,35,15,20,314,169,145,121,64,57,122,65,57,6,4,2,-,-,-,-,-,-,-,-,-,-,-,-,65,36,29,31274,18332,12942,1344,810,534,1998,1199,799,4488,2492,1996,10589,5714,4875,1232,578,654,797,509,288,25,18,7,10801,7012,3789,30760,19451,11309,10694,6720,3974,19951,12670,7281,88,42,46,1,-,1,-,-,-,-,-,-,-,-,-,26,19,7,210,147,63,185,132,53,23,13,10,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-
101學年,24至未滿25歲,39039,24093,14946,6517,4191,2326,12498,7829,4669,7380,4137,3243,4451,2526,1925,479,212,267,540,355,185,552,367,185,6622,4476,2146,24,10,14,-,-,-,2,-,2,2,2,-,3,1,2,5,3,2,-,-,-,-,-,-,12,4,8,294,165,129,117,68,49,121,70,51,10,4,6,-,-,-,-,-,-,-,-,-,-,-,-,46,23,23,16187,9918,6269,1029,648,381,1384,863,521,2563,1466,1097,4421,2516,1905,474,209,265,540,355,185,552,367,185,5224,3494,1730,21733,13381,8352,4793,3035,1758,10792,6731,4061,4781,2651,2130,27,9,18,-,-,-,-,-,-,-,-,-,1340,955,385,801,619,182,578,440,138,199,165,34,24,14,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,25至未滿26歲,23757,14194,9563,3841,2308,1533,6178,3912,2266,5382,2984,2398,3930,2061,1869,282,84,198,178,106,72,415,283,132,3551,2456,1095,11,6,5,-,-,-,2,1,1,1,1,-,2,2,-,1,-,1,-,-,-,-,-,-,5,2,3,206,118,88,84,47,37,91,53,38,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,29,17,12,9224,5572,3652,688,428,260,919,572,347,1840,1016,824,2432,1357,1075,281,84,197,178,106,72,415,283,132,2471,1726,745,13157,7639,5518,2635,1542,1093,4648,2879,1769,3365,1830,1535,1467,678,789,-,-,-,-,-,-,-,-,-,1042,710,332,1159,859,300,434,291,143,518,407,111,174,136,38,29,24,5,-,-,-,-,-,-,-,-,-,4,1,3
101學年,26至未滿27歲,16456,9614,6842,2916,1640,1276,3906,2398,1508,3831,2217,1614,3490,1832,1658,221,74,147,61,40,21,134,88,46,1897,1325,572,8,4,4,-,-,-,-,-,-,1,-,1,1,1,-,2,1,1,-,-,-,-,-,-,4,2,2,223,144,79,102,70,32,101,63,38,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,18,11,7,6077,3664,2413,530,335,195,791,499,292,1378,764,614,1740,972,768,196,56,140,60,39,21,134,88,46,1248,911,337,8530,4596,3934,1921,986,935,2543,1498,1045,1858,988,870,1588,729,859,3,1,2,-,-,-,-,-,-,617,394,223,1618,1206,412,363,249,114,471,338,133,592,465,127,161,130,31,20,16,4,1,1,-,-,-,-,10,7,3
101學年,27至未滿28歲,14465,8255,6210,2701,1501,1200,3207,1883,1324,3235,1813,1422,3606,2010,1596,380,169,211,41,26,15,41,30,11,1254,823,431,2,2,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,207,130,77,81,47,34,103,67,36,4,3,1,1,-,1,-,-,-,-,-,-,-,-,-,18,13,5,5059,2904,2155,502,305,197,663,426,237,1337,701,636,1511,835,676,230,61,169,26,17,9,41,30,11,749,529,220,7016,3590,3426,1740,878,862,2012,1085,927,1331,683,648,1460,676,784,7,3,4,1,1,-,-,-,-,465,264,201,2181,1629,552,378,271,107,429,305,124,562,425,137,633,498,135,143,105,38,14,8,6,-,-,-,22,17,5
101學年,28至未滿29歲,12578,7075,5503,2374,1323,1051,2739,1538,1201,2708,1453,1255,2983,1604,1379,733,448,285,119,92,27,24,19,5,898,598,300,2,-,2,-,-,-,1,-,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,193,102,91,83,39,44,97,54,43,3,2,1,1,-,1,-,-,-,-,-,-,-,-,-,9,7,2,4325,2448,1877,453,281,172,569,372,197,1215,657,558,1349,717,632,231,62,169,18,11,7,18,13,5,472,335,137,5796,2897,2899,1559,811,748,1709,871,838,1051,496,555,1080,484,596,14,5,9,-,-,-,-,-,-,383,230,153,2262,1628,634,279,192,87,363,241,122,439,298,141,552,403,149,488,381,107,101,81,20,6,6,-,34,26,8
101學年,29至未滿30歲,11568,6519,5049,2195,1241,954,2491,1375,1116,2404,1241,1163,2487,1360,1127,700,403,297,414,332,82,86,60,26,791,507,284,7,3,4,1,1,-,-,-,-,-,-,-,5,2,3,1,-,1,-,-,-,-,-,-,-,-,-,205,109,96,86,50,36,95,43,52,4,2,2,4,4,-,-,-,-,-,-,-,-,-,-,16,10,6,3939,2138,1801,440,256,184,501,293,208,1101,571,530,1263,680,583,221,58,163,17,15,2,14,8,6,382,257,125,5104,2584,2520,1386,742,644,1601,834,767,918,409,509,825,397,428,37,10,27,4,1,3,-,-,-,333,191,142,2313,1685,628,282,192,90,294,205,89,381,259,122,390,277,113,441,335,106,393,316,77,72,52,20,60,49,11
101學年,30歲以上,122305,63963,58342,30128,15886,14242,29325,15254,14071,22620,10959,11661,19931,9598,10333,6319,3406,2913,3880,2565,1315,3142,2188,954,6960,4107,2853,14,5,9,1,1,-,4,2,2,2,-,2,3,1,2,4,1,3,-,-,-,-,-,-,-,-,-,3204,1213,1991,1611,620,991,1452,513,939,44,25,19,29,22,7,-,-,-,-,-,-,-,-,-,68,33,35,29813,12681,17132,3415,1634,1781,3428,1675,1753,9962,4128,5834,9936,3962,5974,1528,410,1118,75,61,14,68,55,13,1401,756,645,67122,34941,32181,21944,11444,10500,21422,11015,10407,9511,4699,4812,6924,3557,3367,1787,998,789,850,478,372,26,6,20,4658,2744,1914,22152,15123,7029,3157,2187,970,3019,2049,970,3101,2107,994,3039,2056,983,3000,1997,1003,2955,2026,929,3048,2127,921,833,574,259
100學年,總計,1352084,683367,668717,355351,183635,171716,333104,171438,161666,292267,141886,150381,277746,134272,143474,29325,10420,18905,5900,3926,1974,4309,3026,1283,54082,34764,19318,88070,21650,66420,18921,4591,14330,18817,4619,14198,17250,4250,13000,15713,3902,11811,15468,3592,11876,-,-,-,-,-,-,1901,696,1205,13230,6377,6853,6280,3101,3179,5396,2468,2928,327,96,231,15,10,5,-,-,-,-,-,-,-,-,-,1212,702,510,1032985,527456,505529,253882,130935,122947,237223,122276,114947,245420,121463,123957,243655,120196,123459,7797,2744,5053,1769,1135,634,1251,837,414,41988,27870,14118,184113,104188,79925,70238,40771,29467,65739,37928,27811,23763,12164,11599,13558,6822,6736,1649,986,663,787,453,334,18,9,9,8361,5055,3306,33686,23696,9990,6030,4237,1793,5929,4147,1782,5507,3913,1594,4805,3342,1463,4411,3098,1313,3344,2338,1006,3040,2180,860,620,441,179
100學年,未滿16歲,16335,3785,12550,16239,3765,12474,95,20,75,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,16332,3784,12548,16238,3764,12474,94,20,74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,2,1,1,-,1,-,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,16至未滿17歲,18339,4386,13953,2421,679,1742,15830,3682,12148,88,25,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18329,4383,13946,2411,676,1735,15830,3682,12148,88,25,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,3,7,10,3,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,17至未滿18歲,18807,4791,14016,1613,748,865,2593,750,1843,14485,3277,11208,116,16,100,-,-,-,-,-,-,-,-,-,-,-,-,17358,4130,13228,186,98,88,2576,740,1836,14480,3276,11204,116,16,100,-,-,-,-,-,-,-,-,-,-,-,-,9,6,3,9,6,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1440,655,785,1418,644,774,17,10,7,5,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,18至未滿19歲,200513,96513,104000,183171,91913,91258,1583,691,892,2373,787,1586,13254,3097,10157,132,25,107,-,-,-,-,-,-,-,-,-,16042,4065,11977,46,30,16,247,129,118,2363,784,1579,13254,3097,10157,132,25,107,-,-,-,-,-,-,-,-,-,2131,1095,1036,2111,1083,1028,20,12,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,182340,91353,90987,181014,90800,90214,1316,550,766,10,3,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,19至未滿20歲,230569,112925,117644,46926,25296,21630,167051,83464,83587,1492,649,843,2107,666,1441,12974,2843,10131,-,-,-,-,-,-,19,7,12,15368,3658,11710,18,12,6,44,29,15,224,112,112,2094,658,1436,12974,2843,10131,-,-,-,-,-,-,14,4,10,2728,1355,1373,851,452,399,1872,900,972,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,3,2,212472,107912,104560,46057,24832,21225,165134,82535,82599,1268,537,731,13,8,5,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,20至未滿21歲,222164,110361,111803,10268,5880,4388,45536,24503,21033,160956,78018,82938,1853,776,1077,2125,614,1511,-,-,-,-,-,-,1426,570,856,3528,1182,2346,3,3,-,13,10,3,58,37,21,176,92,84,2124,614,1510,-,-,-,-,-,-,1154,426,728,1444,724,720,350,188,162,717,374,343,107,20,87,-,-,-,-,-,-,-,-,-,-,-,-,270,142,128,217177,108450,108727,9900,5684,4216,44806,24119,20687,160791,77961,82830,1677,684,993,1,-,1,-,-,-,-,-,-,2,2,-,15,5,10,15,5,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,21至未滿22歲,224323,111268,113055,4356,2508,1848,11031,6270,4761,47361,24520,22841,160303,77398,82905,212,95,117,2,2,-,-,-,-,1058,475,583,760,303,457,3,2,1,3,2,1,15,5,10,47,25,22,163,75,88,-,-,-,-,-,-,529,194,335,913,430,483,228,118,110,307,124,183,57,16,41,-,-,-,-,-,-,-,-,-,-,-,-,321,172,149,222367,110390,111977,3854,2246,1608,10709,6141,4568,47289,24499,22790,160256,77373,82883,49,20,29,2,2,-,-,-,-,208,109,99,282,144,138,270,141,129,12,3,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,22至未滿23歲,105038,60096,44942,23472,14749,8723,4631,2655,1976,11141,6220,4921,44302,22924,21378,2324,1026,1298,47,23,24,1,1,-,19120,12498,6622,208,78,130,2,-,2,4,3,1,6,3,3,12,6,6,41,19,22,-,-,-,-,-,-,143,47,96,552,280,272,149,81,68,177,81,96,19,4,15,-,-,-,-,-,-,-,-,-,-,-,-,207,114,93,82720,46114,36606,2081,1223,858,4136,2395,1741,11115,6212,4903,44290,22918,21372,2282,1006,1276,47,23,24,1,1,-,18768,12336,6432,21527,13606,7921,21211,13429,7782,313,175,138,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,31,18,13,29,16,13,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-
100學年,23至未滿24歲,66128,40312,25816,13683,8556,5127,21606,13595,8011,4882,2765,2117,12128,6537,5591,1379,650,729,728,456,272,18,13,5,11704,7740,3964,71,29,42,4,2,2,2,2,-,2,-,2,4,3,1,18,6,12,-,-,-,-,-,-,41,16,25,436,268,168,149,89,60,152,85,67,11,3,8,-,-,-,-,-,-,-,-,-,-,-,-,124,91,33,34142,20193,13949,1496,908,588,2107,1293,814,4788,2723,2065,12122,6534,5588,1361,644,717,728,456,272,18,13,5,11522,7622,3900,31238,19631,11607,11820,7383,4437,19318,12198,7120,81,39,42,2,-,2,-,-,-,-,-,-,-,-,-,17,11,6,241,191,50,214,174,40,27,17,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,24至未滿25歲,38829,23589,15240,6798,4316,2482,12356,7560,4796,7289,4080,3209,4863,2702,2161,575,239,336,510,318,192,461,310,151,5977,4064,1913,25,13,12,2,1,1,1,-,1,3,3,-,3,2,1,6,2,4,-,-,-,-,-,-,10,5,5,332,192,140,125,75,50,125,68,57,8,1,7,-,-,-,-,-,-,-,-,-,-,-,-,74,48,26,16179,9726,6453,1088,663,425,1409,851,558,2643,1495,1148,4798,2666,2132,569,237,332,510,318,192,461,310,151,4701,3186,1515,21456,12998,8458,4969,3089,1880,10633,6497,4136,4600,2553,2047,62,34,28,-,-,-,-,-,-,-,-,-,1192,825,367,837,660,177,614,488,126,188,144,44,35,28,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,25至未滿26歲,25107,15038,10069,4302,2611,1691,6809,4261,2548,5582,3112,2470,4256,2301,1955,327,106,221,221,146,75,407,260,147,3203,2241,962,15,10,5,-,-,-,1,1,-,1,1,-,3,2,1,3,3,-,-,-,-,-,-,-,7,3,4,279,154,125,122,74,48,114,56,58,10,3,7,-,-,-,-,-,-,-,-,-,-,-,-,33,21,12,9877,5941,3936,894,555,339,1072,653,419,1889,1041,848,2806,1579,1227,322,101,221,221,146,75,407,260,147,2266,1606,660,13518,7861,5657,2733,1587,1146,4967,3042,1925,3502,1923,1579,1419,698,721,-,-,-,-,-,-,-,-,-,897,611,286,1418,1072,346,553,395,158,655,509,146,180,144,36,28,22,6,2,2,-,-,-,-,-,-,-,-,-,-
100學年,26至未滿27歲,19756,11551,8205,3577,2114,1463,4758,2922,1836,4548,2593,1955,4245,2280,1965,377,110,267,70,47,23,213,149,64,1968,1336,632,9,5,4,2,-,2,1,1,-,1,1,-,1,1,-,3,2,1,-,-,-,-,-,-,1,-,1,302,190,112,134,84,50,119,75,44,12,3,9,1,-,1,-,-,-,-,-,-,-,-,-,36,28,8,7710,4552,3158,774,499,275,923,569,354,1708,943,765,2373,1320,1053,338,87,251,69,46,23,213,149,64,1312,939,373,9695,5266,4429,2177,1174,1003,3082,1810,1272,2108,1079,1029,1694,826,868,16,8,8,-,-,-,-,-,-,618,369,249,2040,1538,502,490,357,133,633,467,166,719,567,152,176,133,43,20,13,7,1,1,-,-,-,-,1,-,1
100學年,27至未滿28歲,16266,9239,7027,3113,1744,1369,3816,2197,1619,3438,1912,1526,3951,2191,1760,458,190,268,50,39,11,56,36,20,1384,930,454,4,2,2,2,1,1,-,-,-,1,-,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,273,156,117,125,68,57,120,68,52,7,3,4,-,-,-,-,-,-,-,-,-,-,-,-,21,17,4,6211,3610,2601,684,445,239,819,520,299,1457,787,670,1979,1103,876,282,54,228,39,30,9,56,36,20,895,635,260,7485,3804,3681,1877,947,930,2391,1281,1110,1374,678,696,1374,621,753,10,6,4,-,-,-,-,-,-,459,271,188,2293,1667,626,425,283,142,486,328,158,599,444,155,598,467,131,165,129,36,11,9,2,-,-,-,9,7,2
100學年,28至未滿29歲,14286,8097,6189,2841,1595,1246,3180,1779,1401,2904,1560,1344,3336,1860,1476,875,535,340,149,105,44,26,17,9,975,646,329,7,3,4,-,-,-,-,-,-,5,2,3,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,262,145,117,127,71,56,106,58,48,11,5,6,-,-,-,-,-,-,-,-,-,-,-,-,18,11,7,5398,3008,2390,591,370,221,718,431,287,1390,752,638,1778,942,836,301,76,225,26,16,10,24,16,8,570,405,165,6125,3097,3028,1774,917,857,1921,989,932,1049,475,574,1011,506,505,13,7,6,-,-,-,-,-,-,357,203,154,2494,1844,650,349,237,112,435,301,134,449,326,123,547,412,135,561,452,109,123,89,34,2,1,1,28,26,2
100學年,29至未滿30歲,12629,7090,5539,2558,1413,1145,2676,1518,1158,2560,1367,1193,2828,1496,1332,748,425,323,386,313,73,92,74,18,781,484,297,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,289,166,123,144,86,58,120,67,53,7,3,4,-,-,-,-,-,-,-,-,-,-,-,-,18,10,8,4485,2428,2057,468,280,188,531,334,197,1238,667,571,1533,799,734,291,73,218,22,13,9,17,13,4,385,249,136,5579,2825,2754,1657,848,809,1694,895,799,945,439,506,901,424,477,30,13,17,-,-,-,-,-,-,352,206,146,2274,1669,605,289,199,90,331,222,109,370,258,112,394,273,121,425,337,88,364,300,64,75,61,14,26,19,7
100學年,30歲以上,122995,64326,58669,30013,15748,14265,29553,15571,13982,23168,11001,12167,20203,10028,10175,6819,3562,3257,3737,2477,1260,3035,2166,869,6467,3773,2694,12,3,9,4,2,2,1,-,1,3,1,2,3,-,3,1,-,1,-,-,-,-,-,-,-,-,-,3280,1216,2064,1656,626,1030,1447,500,947,78,35,43,14,10,4,-,-,-,-,-,-,-,-,-,85,45,40,30454,13120,17334,3552,1782,1770,3525,1875,1650,9829,3842,5987,10029,4270,5759,2001,446,1555,105,85,20,54,39,15,1359,781,578,67192,34951,32241,21735,11251,10484,21407,11038,10369,10103,4977,5126,7095,3713,3382,1580,952,628,787,453,334,18,9,9,4467,2558,1909,22057,15036,7021,3066,2087,979,3173,2158,1015,3155,2146,1009,3062,2035,1027,3237,2164,1073,2845,1939,906,2963,2118,845,556,389,167
