學年別,縣市別,總計計,總計國立,總計直轄市立,總計縣市立,總計私立,初級部計,初級部國立,初級部直轄市立,初級部縣市立,初級部私立,高級部1年級計,高級部1年級國立,高級部1年級直轄市立,高級部1年級縣市立,高級部1年級私立,高級部2年級計,高級部2年級國立,高級部2年級直轄市立,高級部2年級縣市立,高級部2年級私立
104學年,苗栗縣,17,-,-,17,-,5,-,-,5,-,5,-,-,5,-,7,-,-,7,-
104學年,彰化縣,7,-,-,7,-,2,-,-,2,-,4,-,-,4,-,1,-,-,1,-
104學年,南投縣,7,-,-,7,-,2,-,-,2,-,3,-,-,3,-,2,-,-,2,-
104學年,雲林縣,16,-,-,16,-,7,-,-,7,-,5,-,-,5,-,4,-,-,4,-
104學年,嘉義縣,6,-,-,6,-,1,-,-,1,-,2,-,-,2,-,3,-,-,3,-
104學年,屏東縣,24,-,-,24,-,8,-,-,8,-,7,-,-,7,-,9,-,-,9,-
104學年,臺東縣,4,-,-,4,-,2,-,-,2,-,1,-,-,1,-,1,-,-,1,-
104學年,花蓮縣,9,-,-,9,-,3,-,-,3,-,3,-,-,3,-,3,-,-,3,-
104學年,澎湖縣,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-
104學年,基隆市,18,-,-,18,-,6,-,-,6,-,6,-,-,6,-,6,-,-,6,-
104學年,新竹市,7,-,-,7,-,2,-,-,2,-,2,-,-,2,-,3,-,-,3,-
104學年,嘉義市,3,-,-,3,-,1,-,-,1,-,1,-,-,1,-,1,-,-,1,-
104學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,總計,617,-,409,208,-,208,-,138,70,-,200,-,134,66,-,209,-,137,72,-
103學年,新北市,169,-,169,-,-,58,-,58,-,-,55,-,55,-,-,56,-,56,-,-
103學年,臺北市,73,-,73,-,-,24,-,24,-,-,26,-,26,-,-,23,-,23,-,-
103學年,臺中市,78,-,78,-,-,24,-,24,-,-,27,-,27,-,-,27,-,27,-,-
103學年,臺南市,50,-,50,-,-,20,-,20,-,-,15,-,15,-,-,15,-,15,-,-
103學年,高雄市,39,-,39,-,-,12,-,12,-,-,11,-,11,-,-,16,-,16,-,-
