學年別,縣市別,副學士總計計,副學士總計男,副學士總計女,副學士國立計,副學士國立男,副學士國立女,副學士私立計,副學士私立男,副學士私立女,二年制學士總計計,二年制學士總計男,二年制學士總計女,二年制學士國立計,二年制學士國立男,二年制學士國立女,二年制學士私立計,二年制學士私立男,二年制學士私立女
98學年,臺中縣,525,405,120,276,212,64,249,193,56,405,314,91,245,195,50,160,119,41
98學年,彰化縣,685,384,301,-,-,-,685,384,301,305,191,114,-,-,-,305,191,114
98學年,南投縣,93,43,50,-,-,-,93,43,50,167,99,68,-,-,-,167,99,68
98學年,雲林縣,321,134,187,-,-,-,321,134,187,415,228,187,277,168,109,138,60,78
98學年,嘉義縣,300,194,106,-,-,-,300,194,106,311,180,131,-,-,-,311,180,131
98學年,臺南縣,699,442,257,-,-,-,699,442,257,361,221,140,-,-,-,361,221,140
98學年,高雄縣,1413,772,641,-,-,-,1413,772,641,813,435,378,-,-,-,813,435,378
98學年,屏東縣,402,210,192,-,-,-,402,210,192,358,144,214,-,-,-,358,144,214
98學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,花蓮縣,33,11,22,-,-,-,33,11,22,-,-,-,-,-,-,-,-,-
98學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,基隆市,499,222,277,-,-,-,499,222,277,527,138,389,-,-,-,527,138,389
98學年,新竹市,113,55,58,-,-,-,113,55,58,28,17,11,-,-,-,28,17,11
98學年,臺中市,919,316,603,774,231,543,145,85,60,814,305,509,666,227,439,148,78,70
98學年,嘉義市,74,35,39,-,-,-,74,35,39,-,-,-,-,-,-,-,-,-
98學年,臺南市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,總計,10845,5512,5333,1671,547,1124,9174,4965,4209,9796,4727,5069,2260,1320,940,7536,3407,4129
97學年,臺北市,1769,873,896,355,93,262,1414,780,634,2070,1076,994,448,347,101,1622,729,893
97學年,高雄市,-,-,-,-,-,-,-,-,-,573,326,247,573,326,247,-,-,-
97學年,臺北縣,1580,753,827,-,-,-,1580,753,827,1193,509,684,-,-,-,1193,509,684
97學年,宜蘭縣,133,75,58,-,-,-,133,75,58,162,79,83,-,-,-,162,79,83
97學年,桃園縣,199,67,132,-,-,-,199,67,132,683,259,424,-,-,-,683,259,424
97學年,新竹縣,123,34,89,-,-,-,123,34,89,159,66,93,-,-,-,159,66,93
97學年,苗栗縣,273,154,119,-,-,-,273,154,119,239,101,138,-,-,-,239,101,138
97學年,臺中縣,570,399,171,283,189,94,287,210,77,472,367,105,307,250,57,165,117,48
97學年,彰化縣,777,446,331,-,-,-,777,446,331,315,188,127,-,-,-,315,188,127
97學年,南投縣,134,70,64,-,-,-,134,70,64,141,85,56,-,-,-,141,85,56
97學年,雲林縣,245,102,143,-,-,-,245,102,143,499,271,228,335,217,118,164,54,110
97學年,嘉義縣,317,207,110,-,-,-,317,207,110,354,174,180,-,-,-,354,174,180
97學年,臺南縣,796,541,255,-,-,-,796,541,255,396,213,183,-,-,-,396,213,183
97學年,高雄縣,1675,966,709,-,-,-,1675,966,709,745,426,319,-,-,-,745,426,319
97學年,屏東縣,350,186,164,-,-,-,350,186,164,369,120,249,-,-,-,369,120,249
97學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,花蓮縣,57,16,41,-,-,-,57,16,41,-,-,-,-,-,-,-,-,-
97學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,基隆市,437,189,248,-,-,-,437,189,248,584,186,398,-,-,-,584,186,398
97學年,新竹市,107,45,62,-,-,-,107,45,62,26,12,14,-,-,-,26,12,14
97學年,臺中市,1181,339,842,1033,265,768,148,74,74,816,269,547,597,180,417,219,89,130
97學年,嘉義市,122,50,72,-,-,-,122,50,72,-,-,-,-,-,-,-,-,-
97學年,臺南市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96學年,總計,11238,5964,5274,1344,514,830,9894,5450,4444,9760,4891,4869,2250,1386,864,7510,3505,4005
96學年,臺北市,1788,871,917,288,65,223,1500,806,694,1743,970,773,472,365,107,1271,605,666
96學年,高雄市,-,-,-,-,-,-,-,-,-,549,316,233,549,316,233,-,-,-
96學年,臺北縣,1770,832,938,-,-,-,1770,832,938,1090,483,607,-,-,-,1090,483,607
96學年,宜蘭縣,278,179,99,-,-,-,278,179,99,177,76,101,-,-,-,177,76,101
96學年,桃園縣,199,59,140,-,-,-,199,59,140,1085,503,582,-,-,-,1085,503,582
96學年,新竹縣,103,37,66,-,-,-,103,37,66,223,80,143,-,-,-,223,80,143
96學年,苗栗縣,206,126,80,-,-,-,206,126,80,259,129,130,-,-,-,259,129,130
96學年,臺中縣,540,434,106,288,232,56,252,202,50,557,433,124,319,263,56,238,170,68
96學年,彰化縣,873,523,350,-,-,-,873,523,350,323,194,129,-,-,-,323,194,129
96學年,南投縣,144,78,66,-,-,-,144,78,66,86,51,35,-,-,-,86,51,35
96學年,雲林縣,328,155,173,-,-,-,328,155,173,553,330,223,404,277,127,149,53,96
96學年,嘉義縣,338,212,126,-,-,-,338,212,126,280,127,153,-,-,-,280,127,153
96學年,臺南縣,833,582,251,-,-,-,833,582,251,515,273,242,-,-,-,515,273,242
96學年,高雄縣,1764,998,766,-,-,-,1764,998,766,785,382,403,-,-,-,785,382,403
96學年,屏東縣,503,271,232,-,-,-,503,271,232,314,128,186,-,-,-,314,128,186
96學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96學年,花蓮縣,57,16,41,-,-,-,57,16,41,-,-,-,-,-,-,-,-,-
96學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96學年,基隆市,377,208,169,-,-,-,377,208,169,520,168,352,-,-,-,520,168,352
96學年,新竹市,119,48,71,-,-,-,119,48,71,43,23,20,-,-,-,43,23,20
96學年,臺中市,918,291,627,768,217,551,150,74,76,658,225,433,506,165,341,152,60,92
96學年,嘉義市,100,44,56,-,-,-,100,44,56,-,-,-,-,-,-,-,-,-
96學年,臺南市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
""
