學年別,學科類別,總計計小計,總計計男,總計計女,總計1年級小計,總計1年級男,總計1年級女,總計2年級小計,總計2年級男,總計2年級女,總計3年級小計,總計3年級男,總計3年級女,總計延修生小計,總計延修生男,總計延修生女,國立計小計,國立計男,國立計女,國立1年級小計,國立1年級男,國立1年級女,國立2年級小計,國立2年級男,國立2年級女,國立3年級小計,國立3年級男,國立3年級女,國立延修生小計,國立延修生男,國立延修生女,直轄市立計小計,直轄市立計男,直轄市立計女,直轄市立1年級小計,直轄市立1年級男,直轄市立1年級女,直轄市立2年級小計,直轄市立2年級男,直轄市立2年級女,直轄市立3年級小計,直轄市立3年級男,直轄市立3年級女,直轄市立延修生小計,直轄市立延修生男,直轄市立延修生女,縣市立計小計,縣市立計男,縣市立計女,縣市立1年級小計,縣市立1年級男,縣市立1年級女,縣市立2年級小計,縣市立2年級男,縣市立2年級女,縣市立3年級小計,縣市立3年級男,縣市立3年級女,縣市立延修生小計,縣市立延修生男,縣市立延修生女,私立計小計,私立計男,私立計女,私立1年級小計,私立1年級男,私立1年級女,私立2年級小計,私立2年級男,私立2年級女,私立3年級小計,私立3年級男,私立3年級女,私立延修生小計,私立延修生男,私立延修生女
98學年,家事,11037,1172,9865,4334,492,3842,3518,359,3159,3169,319,2850,16,2,14,867,27,840,308,13,295,261,11,250,296,3,293,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10170,1145,9025,4026,479,3547,3257,348,2909,2873,316,2557,14,2,12
98學年,醫事,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,海事,120,71,49,41,26,15,40,21,19,39,24,15,-,-,-,120,71,49,41,26,15,40,21,19,39,24,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,劇藝,1170,499,671,484,204,280,381,175,206,288,109,179,17,11,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1170,499,671,484,204,280,381,175,206,288,109,179,17,11,6
97學年,總計,102547,54737,47810,38078,20206,17872,32518,17450,15068,31543,16755,14788,408,326,82,6696,3352,3344,2292,1125,1167,2155,1055,1100,2162,1090,1072,87,82,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95851,51385,44466,35786,19081,16705,30363,16395,13968,29381,15665,13716,321,244,77
97學年,農業,509,239,270,190,93,97,146,68,78,173,78,95,-,-,-,509,239,270,190,93,97,146,68,78,173,78,95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,工業,35096,32405,2691,12646,11680,966,11223,10403,820,10995,10105,890,232,217,15,2503,2230,273,833,735,98,794,710,84,793,705,88,83,80,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32593,30175,2418,11813,10945,868,10429,9693,736,10202,9400,802,149,137,12
97學年,商業,55077,20437,34640,20919,7770,13149,17477,6481,10996,16532,6085,10447,149,101,48,2687,791,1896,953,262,691,878,251,627,852,276,576,4,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52390,19646,32744,19966,7508,12458,16599,6230,10369,15680,5809,9871,145,99,46
97學年,家事,10713,1139,9574,3862,445,3417,3331,354,2977,3493,332,3161,27,8,19,875,19,856,275,13,262,298,2,296,302,4,298,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9838,1120,8718,3587,432,3155,3033,352,2681,3191,328,2863,27,8,19
97學年,醫事,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,海事,122,73,49,41,22,19,39,24,15,42,27,15,-,-,-,122,73,49,41,22,19,39,24,15,42,27,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,劇藝,1030,444,586,420,196,224,302,120,182,308,128,180,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1030,444,586,420,196,224,302,120,182,308,128,180,-,-,-
""
