學年別,縣市別,國民小學總計計,國民小學總計男,國民小學總計女,國民小學國立計,國民小學國立男,國民小學國立女,國民小學直轄市立計,國民小學直轄市立男,國民小學直轄市立女,國民小學縣市立計,國民小學縣市立男,國民小學縣市立女,國民小學私立計,國民小學私立男,國民小學私立女,國民中學總計計,國民中學總計男,國民中學總計女,國民中學國立計,國民中學國立男,國民中學國立女,國民中學直轄市立計,國民中學直轄市立男,國民中學直轄市立女,國民中學縣市立計,國民中學縣市立男,國民中學縣市立女,國民中學私立計,國民中學私立男,國民中學私立女
103學年,臺中市,234,159,75,1,1,-,228,156,72,-,-,-,5,2,3,72,46,26,-,-,-,71,46,25,-,-,-,1,-,1
103學年,臺南市,211,165,46,1,1,-,209,163,46,-,-,-,1,1,-,60,48,12,-,-,-,58,46,12,-,-,-,2,2,-
103學年,高雄市,242,159,83,-,-,-,242,159,83,-,-,-,-,-,-,80,52,28,-,-,-,79,52,27,-,-,-,1,-,1
103學年,宜蘭縣,77,69,8,-,-,-,-,-,-,77,69,8,-,-,-,25,18,7,-,-,-,-,-,-,25,18,7,-,-,-
103學年,桃園縣,190,115,75,-,-,-,-,-,-,186,113,73,4,2,2,58,34,24,-,-,-,-,-,-,57,33,24,1,1,-
103學年,新竹縣,85,51,34,-,-,-,-,-,-,83,50,33,2,1,1,29,11,18,-,-,-,-,-,-,28,10,18,1,1,-
103學年,苗栗縣,117,81,36,-,-,-,-,-,-,117,81,36,-,-,-,29,22,7,-,-,-,-,-,-,29,22,7,-,-,-
103學年,彰化縣,175,130,45,-,-,-,-,-,-,175,130,45,-,-,-,36,25,11,-,-,-,-,-,-,36,25,11,-,-,-
103學年,南投縣,144,107,37,-,-,-,-,-,-,142,106,36,2,1,1,32,19,13,-,-,-,-,-,-,31,19,12,1,-,1
103學年,雲林縣,156,114,42,-,-,-,-,-,-,154,113,41,2,1,1,33,26,7,-,-,-,-,-,-,30,23,7,3,3,-
103學年,嘉義縣,124,85,39,-,-,-,-,-,-,124,85,39,-,-,-,23,17,6,-,-,-,-,-,-,23,17,6,-,-,-
