學年別,等級別,總計計小計,總計計男,總計計女,總計1年級小計,總計1年級男,總計1年級女,總計2年級小計,總計2年級男,總計2年級女,總計3年級小計,總計3年級男,總計3年級女,總計4年級小計,總計4年級男,總計4年級女,總計5年級小計,總計5年級男,總計5年級女,總計6年級小計,總計6年級男,總計6年級女,總計7年級小計,總計7年級男,總計7年級女,總計延修生小計,總計延修生男,總計延修生女,國立計小計,國立計男,國立計女,國立1年級小計,國立1年級男,國立1年級女,國立2年級小計,國立2年級男,國立2年級女,國立3年級小計,國立3年級男,國立3年級女,國立4年級小計,國立4年級男,國立4年級女,國立5年級小計,國立5年級男,國立5年級女,國立6年級小計,國立6年級男,國立6年級女,國立7年級小計,國立7年級男,國立7年級女,國立延修生小計,國立延修生男,國立延修生女,直轄市立計小計,直轄市立計男,直轄市立計女,直轄市立1年級小計,直轄市立1年級男,直轄市立1年級女,直轄市立2年級小計,直轄市立2年級男,直轄市立2年級女,直轄市立3年級小計,直轄市立3年級男,直轄市立3年級女,直轄市立4年級小計,直轄市立4年級男,直轄市立4年級女,直轄市立5年級小計,直轄市立5年級男,直轄市立5年級女,直轄市立6年級小計,直轄市立6年級男,直轄市立6年級女,直轄市立7年級小計,直轄市立7年級男,直轄市立7年級女,直轄市立延修生小計,直轄市立延修生男,直轄市立延修生女,私立計小計,私立計男,私立計女,私立1年級小計,私立1年級男,私立1年級女,私立2年級小計,私立2年級男,私立2年級女,私立3年級小計,私立3年級男,私立3年級女,私立4年級小計,私立4年級男,私立4年級女,私立5年級小計,私立5年級男,私立5年級女,私立6年級小計,私立6年級男,私立6年級女,私立7年級小計,私立7年級男,私立7年級女,私立延修生小計,私立延修生男,私立延修生女
99學年,學士後學士學位,204,121,83,204,121,83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,82,61,21,82,61,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,122,60,62,122,60,62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,大學二年制(含二技),4975,1210,3765,-,-,-,-,-,-,1900,498,1402,2116,522,1594,758,113,645,-,-,-,-,-,-,201,77,124,823,356,467,-,-,-,-,-,-,307,132,175,344,131,213,102,62,40,-,-,-,-,-,-,70,31,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4152,854,3298,-,-,-,-,-,-,1593,366,1227,1772,391,1381,656,51,605,-,-,-,-,-,-,131,46,85
99學年,大學四年制(含四技),502705,253441,249264,120237,60136,60101,118235,59009,59226,118121,58284,59837,116130,56858,59272,4102,2165,1937,1737,1104,633,1430,951,479,22713,14934,7779,179158,95402,83756,43141,23055,20086,43488,23040,20448,42245,22103,20142,40462,21087,19375,1386,666,720,399,272,127,298,213,85,7739,4966,2773,4648,2064,2584,1173,522,651,1108,462,646,1056,443,613,1116,502,614,-,-,-,-,-,-,-,-,-,195,135,60,318899,155975,162924,75923,36559,39364,73639,35507,38132,74820,35738,39082,74552,35269,39283,2716,1499,1217,1338,832,506,1132,738,394,14779,9833,4946
99學年,碩士班,148693,80560,68133,55258,30583,24675,51938,28586,23352,21209,10690,10519,11913,5911,6002,1737,980,757,813,450,363,16,4,12,5809,3356,2453,96266,51862,44404,35978,20240,15738,34083,18743,15340,14340,6831,7509,7120,3390,3730,974,459,515,359,141,218,5,1,4,3407,2057,1350,2333,801,1532,821,283,538,798,278,520,331,104,227,197,57,140,24,6,18,18,3,15,11,3,8,133,67,66,50094,27897,22197,18459,10060,8399,17057,9565,7492,6538,3755,2783,4596,2464,2132,739,515,224,436,306,130,-,-,-,2269,1232,1037
99學年,博士班,31291,22019,9272,5883,4122,1761,5497,3870,1627,4899,3380,1519,4675,3290,1385,4017,2832,1185,3161,2273,888,2691,1937,754,468,315,153,25273,18046,7227,4669,3312,1357,4458,3181,1277,3910,2731,1179,3892,2771,1121,3364,2408,956,2604,1905,699,2238,1646,592,138,92,46,198,97,101,37,17,20,37,18,19,37,17,20,29,16,13,29,11,18,16,9,7,13,9,4,-,-,-,5820,3876,1944,1177,793,384,1002,671,331,952,632,320,754,503,251,624,413,211,541,359,182,440,282,158,330,223,107
98學年,總計,685586,357199,328387,179880,94396,85484,178722,93453,85269,148670,74850,73820,132071,64878,67193,11063,6269,4794,5419,3622,1797,3807,2707,1100,25954,17024,8930,296161,162936,133225,83552,46215,37337,81380,44748,36632,60462,32305,28157,50055,26161,23894,6127,3772,2355,3211,2210,1001,2234,1659,575,9140,5866,3274,6901,2869,4032,1991,795,1196,1860,746,1114,1471,611,860,1218,506,712,46,15,31,41,19,22,27,10,17,247,167,80,382524,191394,191130,94337,47386,46951,95482,47959,47523,86737,41934,44803,80798,38211,42587,4890,2482,2408,2167,1393,774,1546,1038,508,16567,10991,5576
98學年,五專(含七年),233,70,163,88,31,57,76,24,52,69,15,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,233,70,163,88,31,57,76,24,52,69,15,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,二專,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,學士後學士學位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,大學二年制(含二技),6234,1480,4754,-,-,-,-,-,-,2182,527,1655,2914,742,2172,782,70,712,-,-,-,-,-,-,356,141,215,895,377,518,-,-,-,-,-,-,347,148,199,341,135,206,10,9,1,-,-,-,-,-,-,197,85,112,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5339,1103,4236,-,-,-,-,-,-,1835,379,1456,2573,607,1966,772,61,711,-,-,-,-,-,-,159,56,103
