學年別,學校級別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,教授計小計,教授計男,教授計女,教授國立小計,教授國立男,教授國立女,教授直轄市立小計,教授直轄市立男,教授直轄市立女,教授私立小計,教授私立男,教授私立女,副教授計小計,副教授計男,副教授計女,副教授國立小計,副教授國立男,副教授國立女,副教授直轄市立小計,副教授直轄市立男,副教授直轄市立女,副教授私立小計,副教授私立男,副教授私立女,助理教授計小計,助理教授計男,助理教授計女,助理教授國立小計,助理教授國立男,助理教授國立女,助理教授直轄市立小計,助理教授直轄市立男,助理教授直轄市立女,助理教授私立小計,助理教授私立男,助理教授私立女,講師計小計,講師計男,講師計女,講師國立小計,講師國立男,講師國立女,講師直轄市立小計,講師直轄市立男,講師直轄市立女,講師私立小計,講師私立男,講師私立女,其他計小計,其他計男,其他計女,其他國立小計,其他國立男,其他國立女,其他直轄市立小計,其他直轄市立男,其他直轄市立女,其他私立小計,其他私立男,其他私立女
104學年,獨立學院,14,8,6,1,-,1,-,-,-,13,8,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,3,2,1,-,1,-,-,-,4,3,1,8,4,4,-,-,-,-,-,-,8,4,4,1,1,-,-,-,-,-,-,-,1,1,-
104學年,大學,769,541,228,315,232,83,5,5,-,449,304,145,108,97,11,77,73,4,1,1,-,30,23,7,56,46,10,29,24,5,-,-,-,27,22,5,130,95,35,57,40,17,2,2,-,71,53,18,418,261,157,130,77,53,2,2,-,286,182,104,57,42,15,22,18,4,-,-,-,35,24,11
103學年,總計,773,535,238,306,222,84,6,5,1,461,308,153,100,87,13,67,60,7,1,1,-,32,26,6,54,41,13,29,22,7,-,-,-,25,19,6,127,92,35,57,38,19,2,2,-,68,52,16,432,273,159,137,90,47,3,2,1,292,181,111,60,42,18,16,12,4,-,-,-,44,30,14
103學年,專科學校,15,7,8,-,-,-,-,-,-,15,7,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,3,1,-,-,-,-,-,-,4,3,1,9,3,6,-,-,-,-,-,-,9,3,6,2,1,1,-,-,-,-,-,-,2,1,1
103學年,獨立學院,22,14,8,1,-,1,-,-,-,21,14,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,5,1,1,-,1,-,-,-,5,5,-,13,6,7,-,-,-,-,-,-,13,6,7,3,3,-,-,-,-,-,-,-,3,3,-
103學年,大學,736,514,222,305,222,83,6,5,1,425,287,138,100,87,13,67,60,7,1,1,-,32,26,6,54,41,13,29,22,7,-,-,-,25,19,6,117,84,33,56,38,18,2,2,-,59,44,15,410,264,146,137,90,47,3,2,1,270,172,98,55,38,17,16,12,4,-,-,-,39,26,13
102學年,總計,796,570,226,350,265,85,2,2,-,444,303,141,128,118,10,83,76,7,1,1,-,44,41,3,49,34,15,27,18,9,-,-,-,22,16,6,114,80,34,63,44,19,-,-,-,51,36,15,444,295,149,159,113,46,1,1,-,284,181,103,61,43,18,18,14,4,-,-,-,43,29,14
102學年,專科學校,11,5,6,-,-,-,-,-,-,11,5,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,1,-,-,-,-,-,-,3,2,1,7,3,4,-,-,-,-,-,-,7,3,4,1,-,1,-,-,-,-,-,-,1,-,1
102學年,獨立學院,25,15,10,8,7,1,-,-,-,17,8,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,3,1,2,1,1,-,-,-,2,2,-,18,10,8,6,6,-,-,-,-,12,4,8,3,2,1,-,-,-,-,-,-,3,2,1
102學年,大學,760,550,210,342,258,84,2,2,-,416,290,126,128,118,10,83,76,7,1,1,-,44,41,3,49,34,15,27,18,9,-,-,-,22,16,6,107,75,32,61,43,18,-,-,-,46,32,14,419,282,137,153,107,46,1,1,-,265,174,91,57,41,16,18,14,4,-,-,-,39,27,12
