學年別,縣市別,校數總計,校數公立,校數私立,教師數總計,教師數公立,教師數私立,職員數總計,職員數公立,職員數私立,學生數總計,學生數公立,學生數私立,上學年畢業生數總計,上學年畢業生數公立,上學年畢業生數私立
104學年,澎湖縣,1,1,-,119,119,-,54,54,-,2984,2984,-,706,706,-
104學年,基隆市,3,1,2,651,410,241,371,211,160,16077,8609,7468,3468,2167,1301
104學年,新竹市,6,3,3,2226,1558,668,1711,1291,420,51748,30404,21344,13353,8003,5350
104學年,嘉義市,3,1,2,716,524,192,372,278,94,18728,12693,6035,4167,2931,1236
104學年,金門縣,1,1,-,140,140,-,81,81,-,4389,4389,-,766,766,-
104學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,總計,159,51,108,49357,19783,29574,30694,13163,17531,1339849,434655,905194,311041,109548,201493
103學年,新北市,19,2,17,4936,543,4393,3118,302,2816,156668,15016,141652,34216,3441,30775
103學年,臺北市,26,12,14,11037,6184,4853,7988,4589,3399,270090,117194,152896,62746,29308,33438
103學年,臺中市,17,5,12,6473,1804,4669,3751,1094,2657,193300,48600,144700,44932,11940,32992
103學年,臺南市,16,4,12,5017,1760,3257,2265,774,1491,136308,31278,105030,31534,8150,23384
103學年,高雄市,19,7,12,5448,2080,3368,3502,1457,2045,150149,54343,95806,34089,14183,19906
