學年別,縣市別,總計計,總計男,總計女,國立計,國立男,國立女,直轄市立計,直轄市立男,直轄市立女,縣市立計,縣市立男,縣市立女,私立計,私立男,私立女
98學年,雲林縣,7376,4164,3212,3808,2039,1769,-,-,-,346,182,164,3222,1943,1279
98學年,嘉義縣,3703,2188,1515,978,642,336,-,-,-,99,43,56,2626,1503,1123
98學年,臺南縣,11646,6773,4873,7312,4209,3103,-,-,-,296,129,167,4038,2435,1603
98學年,高雄縣,12053,7193,4860,4503,2439,2064,-,-,-,1246,614,632,6304,4140,2164
98學年,屏東縣,7252,3936,3316,4608,2614,1994,-,-,-,429,176,253,2215,1146,1069
98學年,臺東縣,2308,1230,1078,1909,1021,888,-,-,-,10,7,3,389,202,187
98學年,花蓮縣,4384,2273,2111,2519,1320,1199,-,-,-,32,22,10,1833,931,902
98學年,澎湖縣,909,449,460,909,449,460,-,-,-,-,-,-,-,-,-
98學年,基隆市,5390,2519,2871,2894,1125,1769,-,-,-,388,190,198,2108,1204,904
98學年,新竹市,6943,3400,3543,2854,1422,1432,-,-,-,745,361,384,3344,1617,1727
98學年,臺中市,15894,7672,8222,7515,3948,3567,-,-,-,928,394,534,7451,3330,4121
98學年,嘉義市,6649,3131,3518,4128,1910,2218,-,-,-,-,-,-,2521,1221,1300
98學年,臺南市,11267,5517,5750,4393,2080,2313,-,-,-,221,114,107,6653,3323,3330
98學年,金門縣,564,282,282,564,282,282,-,-,-,-,-,-,-,-,-
98學年,連江縣,98,50,48,98,50,48,-,-,-,-,-,-,-,-,-
97學年,總計,277150,145639,131511,95815,50905,44910,32860,17650,15210,13009,6121,6888,135466,70963,64503
97學年,臺北市,42666,21956,20710,1590,962,628,21970,12063,9907,-,-,-,19106,8931,10175
97學年,高雄市,21197,10602,10595,487,263,224,10890,5587,5303,-,-,-,9820,4752,5068
97學年,臺北縣,32090,16605,15485,8839,5207,3632,-,-,-,4626,2122,2504,18625,9276,9349
97學年,宜蘭縣,4992,2660,2332,4604,2415,2189,-,-,-,62,36,26,326,209,117
97學年,桃園縣,26595,14375,12220,7408,3738,3670,-,-,-,1421,709,712,17766,9928,7838
