學年別,學歷別,總計計小計,總計計男,總計計女,總計教授小計,總計教授男,總計教授女,總計副教授小計,總計副教授男,總計副教授女,總計助理教授小計,總計助理教授男,總計助理教授女,總計講師小計,總計講師男,總計講師女,總計其他小計,總計其他男,總計其他女,總計助教小計,總計助教男,總計助教女,專科學校計小計,專科學校計男,專科學校計女,專科學校教授小計,專科學校教授男,專科學校教授女,專科學校副教授小計,專科學校副教授男,專科學校副教授女,專科學校助理教授小計,專科學校助理教授男,專科學校助理教授女,專科學校講師小計,專科學校講師男,專科學校講師女,專科學校其他小計,專科學校其他男,專科學校其他女,專科學校助教小計,專科學校助教男,專科學校助教女,獨立學院計小計,獨立學院計男,獨立學院計女,獨立學院教授小計,獨立學院教授男,獨立學院教授女,獨立學院副教授小計,獨立學院副教授男,獨立學院副教授女,獨立學院助理教授小計,獨立學院助理教授男,獨立學院助理教授女,獨立學院講師小計,獨立學院講師男,獨立學院講師女,獨立學院其他小計,獨立學院其他男,獨立學院其他女,獨立學院助教小計,獨立學院助教男,獨立學院助教女,大學計小計,大學計男,大學計女,大學教授小計,大學教授男,大學教授女,大學副教授小計,大學副教授男,大學副教授女,大學助理教授小計,大學助理教授男,大學助理教授女,大學講師小計,大學講師男,大學講師女,大學其他小計,大學其他男,大學其他女,大學助教小計,大學助教男,大學助教女
105學年,專科,118,99,19,2,-,2,7,3,4,3,2,1,4,3,1,101,90,11,1,1,-,11,10,1,-,-,-,-,-,-,-,-,-,-,-,-,11,10,1,-,-,-,27,24,3,-,-,-,-,-,-,-,-,-,3,3,-,24,21,3,-,-,-,80,65,15,2,-,2,7,3,4,3,2,1,1,-,1,66,59,7,1,1,-
105學年,其他,117,93,24,9,5,4,4,2,2,8,2,6,1,1,-,95,83,12,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,27,24,3,-,-,-,-,-,-,-,-,-,-,-,-,27,24,3,-,-,-,87,66,21,9,5,4,4,2,2,8,2,6,1,1,-,65,56,9,-,-,-
104學年,總計,48696,31428,17268,12116,9599,2517,14993,10105,4888,12900,7737,5163,5352,2391,2961,3046,1531,1515,289,65,224,1638,494,1144,27,24,3,75,49,26,318,148,170,828,184,644,390,89,301,-,-,-,2029,1266,763,90,83,7,494,349,145,637,407,230,548,271,277,260,156,104,-,-,-,45029,29668,15361,11999,9492,2507,14424,9707,4717,11945,7182,4763,3976,1936,2040,2396,1286,1110,289,65,224
104學年,博士,36417,24974,11443,11367,9005,2362,13428,9084,4344,10949,6493,4456,159,71,88,502,316,186,12,5,7,425,217,208,25,22,3,72,47,25,290,131,159,27,12,15,11,5,6,-,-,-,1037,704,333,81,75,6,414,291,123,519,322,197,6,3,3,17,13,4,-,-,-,34955,24053,10902,11261,8908,2353,12942,8746,4196,10140,6040,4100,126,56,70,474,298,176,12,5,7
104學年,碩士,10207,5198,5009,500,383,117,1270,798,472,1700,1034,666,4966,2170,2796,1645,780,865,126,33,93,942,221,721,-,-,-,2,1,1,25,14,11,792,168,624,123,38,85,-,-,-,828,448,380,7,6,1,64,45,19,96,66,30,511,249,262,150,82,68,-,-,-,8437,4529,3908,493,377,116,1204,752,452,1579,954,625,3663,1753,1910,1372,660,712,126,33,93
104學年,學士,1831,1058,773,238,205,33,276,210,66,222,187,35,207,136,71,741,297,444,147,23,124,257,42,215,2,2,-,1,1,-,3,3,-,7,2,5,244,34,210,-,-,-,100,60,40,2,2,-,15,12,3,13,10,3,21,13,8,49,23,26,-,-,-,1474,956,518,234,201,33,260,197,63,206,174,32,179,121,58,448,240,208,147,23,124
104學年,專科,136,107,29,2,-,2,11,6,5,16,12,4,9,6,3,95,80,15,3,3,-,12,12,-,-,-,-,-,-,-,-,-,-,2,2,-,10,10,-,-,-,-,37,31,6,-,-,-,-,-,-,5,5,-,4,2,2,28,24,4,-,-,-,87,64,23,2,-,2,11,6,5,11,7,4,3,2,1,57,46,11,3,3,-
104學年,其他,105,91,14,9,6,3,8,7,1,13,11,2,11,8,3,63,58,5,1,1,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,27,23,4,-,-,-,1,1,-,4,4,-,6,4,2,16,14,2,-,-,-,76,66,10,9,6,3,7,6,1,9,7,2,5,4,1,45,42,3,1,1,-
103學年,總計,49357,31978,17379,11776,9405,2371,15078,10255,4823,13297,8097,5200,6000,2709,3291,2886,1441,1445,320,71,249,1765,551,1214,32,26,6,88,56,32,332,167,165,927,215,712,386,87,299,-,-,-,2535,1518,1017,117,105,12,643,434,209,762,477,285,761,356,405,251,146,105,1,-,1,45057,29909,15148,11627,9274,2353,14347,9765,4582,12203,7453,4750,4312,2138,2174,2249,1208,1041,319,71,248
103學年,博士,36406,25165,11241,10986,8772,2214,13426,9163,4263,11385,6872,4513,182,85,97,419,269,150,8,4,4,455,238,217,30,24,6,82,52,30,302,147,155,33,13,20,8,2,6,-,-,-,1314,868,446,105,93,12,539,367,172,640,393,247,23,14,9,7,1,6,-,-,-,34637,24059,10578,10851,8655,2196,12805,8744,4061,10443,6332,4111,126,58,68,404,266,138,8,4,4
