學年別,縣市別,總計計,總計1年級,總計2年級,總計3年級,國立計,國立1年級,國立2年級,國立3年級,直轄市立計,直轄市立1年級,直轄市立2年級,直轄市立3年級,縣市立計,縣市立1年級,縣市立2年級,縣市立3年級,私立計,私立1年級,私立2年級,私立3年級
101學年,苗栗縣,131,53,39,39,97,41,28,28,-,-,-,-,6,2,2,2,28,10,9,9
101學年,彰化縣,298,104,100,94,193,65,65,63,-,-,-,-,55,22,19,14,50,17,16,17
101學年,南投縣,130,44,43,43,72,24,24,24,-,-,-,-,20,7,7,6,38,13,12,13
101學年,雲林縣,222,75,75,72,105,35,35,35,-,-,-,-,40,14,14,12,77,26,26,25
101學年,嘉義縣,76,27,25,24,33,11,11,11,-,-,-,-,18,6,6,6,25,10,8,7
101學年,屏東縣,259,88,87,84,156,52,52,52,-,-,-,-,57,20,19,18,46,16,16,14
101學年,臺東縣,24,8,8,8,21,7,7,7,-,-,-,-,-,-,-,-,3,1,1,1
101學年,花蓮縣,122,42,41,39,77,26,26,25,-,-,-,-,6,2,2,2,39,14,13,12
101學年,澎湖縣,36,12,12,12,36,12,12,12,-,-,-,-,-,-,-,-,-,-,-,-
101學年,基隆市,174,61,57,56,113,37,38,38,-,-,-,-,40,16,12,12,21,8,7,6
101學年,新竹市,216,74,73,69,132,44,44,44,-,-,-,-,56,20,20,16,28,10,9,9
101學年,嘉義市,173,55,57,61,111,37,37,37,-,-,-,-,-,-,-,-,62,18,20,24
101學年,金門縣,30,10,10,10,30,10,10,10,-,-,-,-,-,-,-,-,-,-,-,-
101學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,總計,8040,2711,2693,2636,3088,1036,1031,1021,2424,813,811,800,489,179,165,145,2039,683,686,670
100學年,新北市,979,328,327,324,371,124,124,123,293,98,98,97,-,-,-,-,315,106,105,104
100學年,臺北市,1707,567,570,570,98,32,33,33,1252,418,417,417,-,-,-,-,357,117,120,120
100學年,臺中市,904,305,306,293,404,136,136,132,196,68,68,60,-,-,-,-,304,101,102,101
100學年,臺南市,708,240,239,229,367,125,122,120,50,17,17,16,-,-,-,-,291,98,100,93
100學年,高雄市,995,332,331,332,204,68,68,68,633,212,211,210,-,-,-,-,158,52,52,54
100學年,宜蘭縣,165,56,55,54,129,43,43,43,-,-,-,-,4,2,1,1,32,11,11,10
100學年,桃園縣,672,226,227,219,309,103,103,103,-,-,-,-,205,71,72,62,158,52,52,54
100學年,新竹縣,79,29,26,24,48,16,16,16,-,-,-,-,13,5,4,4,18,8,6,4
100學年,苗栗縣,119,40,39,40,84,28,28,28,-,-,-,-,6,2,2,2,29,10,9,10
100學年,彰化縣,283,100,94,89,192,65,63,64,-,-,-,-,43,19,14,10,48,16,17,15
100學年,南投縣,127,43,43,41,70,24,24,22,-,-,-,-,19,7,6,6,38,12,13,13
100學年,雲林縣,217,75,73,69,105,35,35,35,-,-,-,-,37,14,12,11,75,26,26,23
100學年,嘉義縣,73,25,24,24,33,11,11,11,-,-,-,-,17,6,6,5,23,8,7,8
100學年,屏東縣,248,87,84,77,154,52,52,50,-,-,-,-,52,19,18,15,42,16,14,12
100學年,臺東縣,24,8,8,8,21,7,7,7,-,-,-,-,-,-,-,-,3,1,1,1
100學年,花蓮縣,120,41,39,40,76,26,25,25,-,-,-,-,6,2,2,2,38,13,12,13
100學年,澎湖縣,36,12,12,12,36,12,12,12,-,-,-,-,-,-,-,-,-,-,-,-
100學年,基隆市,171,57,56,58,114,38,38,38,-,-,-,-,36,12,12,12,21,7,6,8
100學年,新竹市,210,73,69,68,132,44,44,44,-,-,-,-,51,20,16,15,27,9,9,9
100學年,嘉義市,173,57,61,55,111,37,37,37,-,-,-,-,-,-,-,-,62,20,24,18
100學年,金門縣,30,10,10,10,30,10,10,10,-,-,-,-,-,-,-,-,-,-,-,-
100學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,總計,7887,2698,2639,2550,3063,1030,1021,1012,1769,590,590,589,1047,385,355,307,2008,693,673,642
99學年,臺北市,1701,568,569,564,98,32,33,33,1251,417,417,417,-,-,-,-,352,119,119,114
99學年,高雄市,651,218,220,213,24,8,8,8,518,173,173,172,-,-,-,-,109,37,39,33
99學年,臺北縣,966,328,324,314,370,124,123,123,-,-,-,-,285,98,97,90,311,106,104,101
99學年,宜蘭縣,161,55,54,52,129,43,43,43,-,-,-,-,2,1,1,-,30,11,10,9
99學年,桃園縣,640,227,219,194,309,103,103,103,-,-,-,-,171,72,62,37,160,52,54,54
