學年別,縣市別,總計計,總計1年級,總計2年級,總計3年級,國立計,國立1年級,國立2年級,國立3年級,直轄市立計,直轄市立1年級,直轄市立2年級,直轄市立3年級,縣市立計,縣市立1年級,縣市立2年級,縣市立3年級,私立計,私立1年級,私立2年級,私立3年級
100學年,宜蘭縣,60,20,20,20,60,20,20,20,-,-,-,-,-,-,-,-,-,-,-,-
100學年,桃園縣,331,114,107,110,64,23,21,20,-,-,-,-,-,-,-,-,267,91,86,90
100學年,新竹縣,59,20,18,21,6,2,2,2,-,-,-,-,-,-,-,-,53,18,16,19
100學年,苗栗縣,65,22,21,22,15,5,5,5,-,-,-,-,-,-,-,-,50,17,16,17
100學年,彰化縣,175,58,57,60,140,46,46,48,-,-,-,-,-,-,-,-,35,12,11,12
100學年,南投縣,58,19,19,20,55,18,18,19,-,-,-,-,-,-,-,-,3,1,1,1
100學年,雲林縣,35,11,12,12,18,6,6,6,-,-,-,-,3,1,1,1,14,4,5,5
100學年,嘉義縣,13,4,4,5,6,2,2,2,-,-,-,-,-,-,-,-,7,2,2,3
100學年,屏東縣,66,24,23,19,25,9,9,7,-,-,-,-,-,-,-,-,41,15,14,12
100學年,臺東縣,21,8,7,6,20,7,7,6,-,-,-,-,1,1,-,-,-,-,-,-
100學年,花蓮縣,48,13,17,18,31,10,10,11,-,-,-,-,-,-,-,-,17,3,7,7
100學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,基隆市,43,13,14,16,29,9,9,11,-,-,-,-,-,-,-,-,14,4,5,5
100學年,新竹市,79,26,27,26,15,5,5,5,-,-,-,-,5,1,2,2,59,20,20,19
100學年,嘉義市,43,15,15,13,32,11,11,10,-,-,-,-,-,-,-,-,11,4,4,3
100學年,金門縣,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,總計,2595,862,853,880,910,298,303,309,109,38,35,36,59,21,19,19,1517,505,496,516
99學年,臺北市,293,99,96,98,15,5,5,5,26,10,8,8,-,-,-,-,252,84,83,85
99學年,高雄市,160,55,51,54,-,-,-,-,83,28,27,28,-,-,-,-,77,27,24,26
99學年,臺北縣,363,123,120,120,73,24,25,24,-,-,-,-,49,18,16,15,241,81,79,81
99學年,宜蘭縣,63,20,20,23,63,20,20,23,-,-,-,-,-,-,-,-,-,-,-,-
99學年,桃園縣,337,112,111,114,64,21,21,22,-,-,-,-,-,-,-,-,273,91,90,92
99學年,新竹縣,65,19,21,25,6,2,2,2,-,-,-,-,-,-,-,-,59,17,19,23
99學年,苗栗縣,66,21,22,23,15,5,5,5,-,-,-,-,-,-,-,-,51,16,17,18
99學年,臺中縣,206,71,69,66,68,23,22,23,-,-,-,-,-,-,-,-,138,48,47,43
99學年,彰化縣,185,61,62,62,147,49,50,48,-,-,-,-,-,-,-,-,38,12,12,14
99學年,南投縣,58,19,20,19,55,18,19,18,-,-,-,-,-,-,-,-,3,1,1,1
99學年,雲林縣,37,13,12,12,19,7,6,6,-,-,-,-,3,1,1,1,15,5,5,5
99學年,嘉義縣,12,4,5,3,6,2,2,2,-,-,-,-,-,-,-,-,6,2,3,1
99學年,臺南縣,79,24,27,28,52,15,18,19,-,-,-,-,-,-,-,-,27,9,9,9
99學年,高雄縣,66,21,21,24,34,11,11,12,-,-,-,-,-,-,-,-,32,10,10,12
99學年,屏東縣,65,24,19,22,26,9,7,10,-,-,-,-,-,-,-,-,39,15,12,12
99學年,臺東縣,21,7,6,8,20,7,6,7,-,-,-,-,1,-,-,1,-,-,-,-
99學年,花蓮縣,53,18,18,17,33,11,11,11,-,-,-,-,-,-,-,-,20,7,7,6
99學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,基隆市,45,14,16,15,30,9,11,10,-,-,-,-,-,-,-,-,15,5,5,5
99學年,新竹市,84,27,28,29,15,5,5,5,-,-,-,-,6,2,2,2,63,20,21,22
99學年,臺中市,185,59,62,64,79,25,27,27,-,-,-,-,-,-,-,-,106,34,35,37
99學年,嘉義市,42,15,13,14,31,11,10,10,-,-,-,-,-,-,-,-,11,4,3,4
99學年,臺南市,110,36,34,40,59,19,20,20,-,-,-,-,-,-,-,-,51,17,14,20
99學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,總計,2665,880,886,899,934,308,313,313,108,35,35,38,58,20,19,19,1565,517,519,529
98學年,臺北市,297,100,99,98,15,5,5,5,26,8,8,10,-,-,-,-,256,87,86,83
98學年,高雄市,158,51,51,56,-,-,-,-,82,27,27,28,-,-,-,-,76,24,24,28
98學年,臺北縣,371,126,122,123,72,25,24,23,-,-,-,-,48,17,15,16,251,84,83,84
98學年,宜蘭縣,65,20,23,22,65,20,23,22,-,-,-,-,-,-,-,-,-,-,-,-
98學年,桃園縣,351,116,116,119,67,21,23,23,-,-,-,-,-,-,-,-,284,95,93,96
98學年,新竹縣,73,22,25,26,6,2,2,2,-,-,-,-,-,-,-,-,67,20,23,24
98學年,苗栗縣,68,22,23,23,15,5,5,5,-,-,-,-,-,-,-,-,53,17,18,18
98學年,臺中縣,207,69,66,72,67,22,23,22,-,-,-,-,-,-,-,-,140,47,43,50
98學年,彰化縣,194,65,64,65,152,52,50,50,-,-,-,-,-,-,-,-,42,13,14,15
98學年,南投縣,58,20,19,19,55,19,18,18,-,-,-,-,-,-,-,-,3,1,1,1
98學年,雲林縣,37,13,12,12,19,7,6,6,-,-,-,-,3,1,1,1,15,5,5,5
98學年,嘉義縣,11,5,3,3,6,2,2,2,-,-,-,-,-,-,-,-,5,3,1,1
98學年,臺南縣,83,27,28,28,56,18,19,19,-,-,-,-,-,-,-,-,27,9,9,9
98學年,高雄縣,73,22,24,27,37,11,12,14,-,-,-,-,-,-,-,-,36,11,12,13
98學年,屏東縣,64,20,23,21,27,7,10,10,-,-,-,-,-,-,-,-,37,13,13,11
98學年,臺東縣,22,7,8,7,21,7,7,7,-,-,-,-,1,-,1,-,-,-,-,-
98學年,花蓮縣,51,18,17,16,32,11,11,10,-,-,-,-,-,-,-,-,19,7,6,6
98學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,基隆市,48,16,15,17,33,11,10,12,-,-,-,-,-,-,-,-,15,5,5,5
98學年,新竹市,85,28,29,28,15,5,5,5,-,-,-,-,6,2,2,2,64,21,22,21
98學年,臺中市,191,63,64,64,81,27,27,27,-,-,-,-,-,-,-,-,110,36,37,37
98學年,嘉義市,40,13,14,13,31,10,10,11,-,-,-,-,-,-,-,-,9,3,4,2
98學年,臺南市,118,37,41,40,62,21,21,20,-,-,-,-,-,-,-,-,56,16,20,20
98學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,總計,2740,911,910,919,943,316,316,311,109,35,38,36,58,19,19,20,1630,541,537,552
97學年,臺北市,303,105,100,98,15,5,5,5,26,8,10,8,-,-,-,-,262,92,85,85
97學年,高雄市,171,53,55,63,-,-,-,-,83,27,28,28,-,-,-,-,88,26,27,35
97學年,臺北縣,388,128,128,132,72,24,23,25,-,-,-,-,48,15,16,17,268,89,89,90
97學年,宜蘭縣,68,23,22,23,68,23,22,23,-,-,-,-,-,-,-,-,-,-,-,-
97學年,桃園縣,356,120,121,115,68,23,24,21,-,-,-,-,-,-,-,-,288,97,97,94
97學年,新竹縣,81,27,26,28,6,2,2,2,-,-,-,-,-,-,-,-,75,25,24,26
97學年,苗栗縣,71,23,23,25,15,5,5,5,-,-,-,-,-,-,-,-,56,18,18,20
97學年,臺中縣,208,66,72,70,67,23,22,22,-,-,-,-,-,-,-,-,141,43,50,48
97學年,彰化縣,200,66,67,67,153,52,52,49,-,-,-,-,-,-,-,-,47,14,15,18
97學年,南投縣,59,19,19,21,55,18,18,19,-,-,-,-,-,-,-,-,4,1,1,2
97學年,雲林縣,36,13,12,11,19,7,6,6,-,-,-,-,3,1,1,1,14,5,5,4
97學年,嘉義縣,9,3,3,3,6,2,2,2,-,-,-,-,-,-,-,-,3,1,1,1
97學年,臺南縣,83,28,28,27,57,19,19,19,-,-,-,-,-,-,-,-,26,9,9,8
97學年,高雄縣,79,24,27,28,40,12,14,14,-,-,-,-,-,-,-,-,39,12,13,14
97學年,屏東縣,63,23,21,19,28,10,10,8,-,-,-,-,-,-,-,-,35,13,11,11
97學年,臺東縣,22,8,7,7,21,7,7,7,-,-,-,-,1,1,-,-,-,-,-,-
97學年,花蓮縣,51,18,17,16,32,11,11,10,-,-,-,-,-,-,-,-,19,7,6,6
97學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,基隆市,46,16,15,15,31,10,10,11,-,-,-,-,-,-,-,-,15,6,5,4
97學年,新竹市,86,29,28,29,15,5,5,5,-,-,-,-,6,2,2,2,65,22,21,22
97學年,臺中市,193,64,65,64,81,27,27,27,-,-,-,-,-,-,-,-,112,37,38,37
97學年,嘉義市,42,14,13,15,32,10,11,11,-,-,-,-,-,-,-,-,10,4,2,4
97學年,臺南市,125,41,41,43,62,21,21,20,-,-,-,-,-,-,-,-,63,20,20,23
97學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
""
